id,title,plot,mpaa
0109297,Blink,"Emma is an attractive girl in her 20s who has been blind for 20 years. A new type of eye operation partially restores her sight, but she is having problemsTwenty years ago, 8-year-old Emma Brody's abusive mother smashed Emma's face into a bathroom mirror just for pilfering in the mother's makeup drawer. Today, Emma is an independent, self-assured woman who plays violin in a popular Celtic folk band in Chicago. Emma lives life on her own terms, only without sight -- the result of the traumatic injuries to her eyes at the hands of her mother. Luckily for Emma, medical science has vaulted a quantum leap in the past two decades. Now, thanks to corneal implants installed by her kindly eye surgeon, Dr. Ryan Pierce, Emma can see again. Emma's sight is at first cloudy, and she suffers from ""retroactive hallucinations,"" a clinically documented syndrome in which the newly sighted sometimes ""see"" things hours, or even days, after they actually happen. This becomes a big problem when Emma sees a suspicious man leaving her neighbor's apartment at 4AM, but his features appear to her only in flashback later that morning. After failing to get a response at the neighbor's door, Emma tries to convince detective John Hallstrom and his partner Tom Ridgely to check things out. At first, Hallstrom dismisses Emma as a nutcase, but when the cops finally arrive on the scene, they find the guy murdered, using the same MO as a series of killings that Hallstrom and Ridgely are already investigating. Emma herself is in danger, because she's the only person who can identify the killer. Hallstrom's colleagues remain doubtful because Emma's vision flawed. When the killer begins to stalk Emma, Hallstrom has her placed under police protection, and the two soon become lovers while Hallstrom tries to figure out who the killer is.Emma is a blind violinist who finally gets the opportunity to see. Meanwhile, a string of bizarre rapes and murders has taken place. All of the victims have had transplants within the last month. A coincidence, or is Emma next?",R
0109300,Blood of the Innocent,"A Chicago cop goes to Poland to get the hoods who killed his brother. When he finds out they belong to the local outfit of the Russian mob, he takes on the outfit's boss, as well as Dr. Lem, who handles illegal organ trade for the mob.",R
0109303,Blown Away,"Jimmy Dove works for the bomb squad in Boston and he is always the one who is on the tough jobs. One day he decides to quit the force and to become a teacher for the rookies of the squad. A few days later his former partner is killed by a bomb and Jimmy becomes suspicious that maybe this bomb could have been built by a former friend of himself. He begins to investigate and finds out that his worst nightmare has returned from his past.There's a serial bomber loose in Boston, and he has killed Blanket, a member of Boston's bomb squad and the best friend of explosives expert Jimmy Dove. Dove has just retired from the bomb squad to marry a violinist named Kate, who has an 11-year-old daughter named Elizabeth. Haunted by grisly flashbacks, Dove soon figures out the identity of the bomber -- Irish explosives expert Ryan Gaerity, a man who is so radical in his views that even the IRA wants nothing to do with him. Gaerity has escaped from the maximum security Castle Gleigh prison in Ireland, using a bomb made from ingredients that include blood, wool, and a porcelain toilet. Gaerity has fled to Boston, where he saw Dove, who had just disarmed a bomb planted in a MIT computer lab, painted as a reluctant hero on TV. Gaerity was furiousAn Irish bomber escapes from prison and targets a member of the Boston bomb squad.",R
0109305,Blue Chips,"Pete Bell, a college basketball coach is under a lot of pressure. His team isn't winning and he cannot attract new players. The stars of the future are secretly being paid by boosters. This practice is forbidden in the college game, but Pete is desperate and has pressures from all around.A college basketball coach is forced to break the rules in order to get the players he needs to stay competitive.",PG-13
0109306,Blue Sky,"It's the early 1960s. Nuclear engineer Hank Marshall is a major in the US Army, he who works on top secret nuclear testing projects. Trouble follows him from posting to posting largely because of his mentally unstable wife, Carly Marshall, who is bipolar. During her manic phases, her already overt sexuality, which she models after such sex symbols as Marilyn Monroe and Brigitte Bardot, is ratcheted up a notch, that partying behavior which is mixed with less frequent phases of physically destructive behavior. Regardless, Hank and Carly love each other, Hank who would admit to himself that he enjoys the fact that other men find Carly attractive, which is partly why he allows her to act the way she does in public. In turn, they mutually love their now two teenaged daughters, Alex and Becky. Reassigned from their two year posting in Hawaii largely due to the ruckus Carly has caused there, they are next sent to Alabama, the base under the command of Vince Johnson, his wife, Vera Johnson, who heads the wives' welcoming committee. At an age of starting to test her own sexuality, Alex starts to date the Johnsons' son, Glenn. Due to no fault of his own, Hank faces some problems in the latest project on which he is working, code named Blue Sky. And Carly continues her regular behavior, which catches Vince's overtly wandering eye. These items in combination lead to the potential of the Marshalls' home life being pulled apart and Hank's career destroyed, both irreparably.It's the early 1960s. Hank Marshall is a tough, square-jawed, strait-laced Army engineer and nuclear science expert, assigned to help conduct weapons-testing in America. Hank has become a thorn in the side of the US Army, though, for a couple of very different reasons. He is an outspoken opponent of atmospheric testing, though his superiors hold contrary views and want to squelch his concerns - and his reports. The other problem is his wife, Carly Marshall, who is voluptuous, fun-loving and emotionally vulnerable. Her antics are wreaking havoc in his personal life and stirring up intrigue at each Army base. While he's conducting A-bomb tests in Nevada, she succumbs to the advances of his superior officer. However, her infidelity is not the only dilemma that the Marshalls have to face. When a deadly military cover-up puts Hank in jeopardy, it's up to Carly to muster the courage and strength to save the man she loves.Jessica Lange stars in a period drama about a family moving to a military base, and she quickly becomes part of a cover-up involving nuclear bomb tests.",PG-13
0109307,Blue Tiger,"Gena witnesses the murder of her son by a Japanees hit-man. He accidentally shoots the boy during a hit on a rival gang of bus operators. Gena then dedicates her life to revenge, and seeks out the gunman. But are the other (mystical) influences involved ?Gena is a sweet and dedicated mother to her little son. One day, whilst shopping with him for a halloween mask, her son is accidently shot through the chest by a Japanese Gunman, trying to kill an opposing gang of bus operators. Gena notices that the gunman has a picture of a blue tiger on his chest. She is turned into an obsessed person and has an identical red tiger etched into her skin. She then tracks down the killer and plots his death. This leads her into the world of the Japanese Mafia....A woman dedicates her life to seeking revenge after her son is killed by crossfire as Japanese gangsters perform a hit.",R
0109312,Boca,"J.J. is a beautiful American journalist who's sent to Brazil, just as the famous Carnival begins, to investigate reports of brutal murders of street kids from favelas, the notorious Brazilian slums. The corrupt officials won't help, so through her producer's contacts she finds out where the next execution will happen on her own. Once there, she sees a vicious local crime boss called ""Boca"" or ""Mouth"", short for his full street name - ""Mouth of Gold"", a nickname he got for having rows of golden teeth in his mouth, saving the children and killing the executioners. Since the corrupt local government and police have no intentions of stopping the killings, she tries to get close to Boca and convince him to help her with her story and save more kids. Surprisingly, he turns out to be very charismatic and, although he accepts her offer, he starts playing mind games with her. This, combined with his brutal, but intriguing, life story, exotic harem and the heated sexualized atmosphere of the Carnival, loosens J.J. up and she falls under his menacing charm. That's when an overfriendly stranger, Jesse James Montgomery, a self-proclaimed CIA spook, warns her that Boca is a monster and that unless she comes to her senses she'll become his puppet and part of the city's underbelly. Convinced that Boca truly wants to help the poor children of favelas, she refuses to listen. Soon, things escalate.Enthusiastic American journalist goes to Brazil as the Carnival starts to investigate mass executions of street kids. She meets a savage crime boss called Boca who seemingly wants to help the children and falls under his brutal charm.",R
0109321,The Night Before Christmas,Two brothers who hate each other are going to spend Christmas with their mother. She tries to get them together.,PG
0109323,Boulevard,"A young woman named Jennefer regularly beaten and tortured by her boyfriend, gives birth and immediately gives the child up for adoption. This sets her on an escape from the lover on the streets of Toronto. Here she meets a hardened hooker named Ola who takes her in so she won't be arrested for vagrancy. Jennefer then decides to take up hooking to make money and has to learn to fend for herself and to protect herself from a demanding pimp named Hassan. When Hassan kills one of the street girls, it pits him against the others and against a detective out to bust him. Meanwhile, Jennefer's boyfriend, J-Rod, arrives in the city and relentlessly seeks her out to take her back... or kill her.A street prostitute takes in an abused young woman on the run from her misogynist boyfriend, leading to both facing off against the prostitute's dreaded pimp and a relentless police detective out to arrest all of them.",R
0109327,Brainscan,"A lonely teenage horror-movie fan discovers a mysterious computer game that uses hypnosis to custom-tailor the game into the most terrifying experience imaginable. When he emerges from the hypnotic trance he is horrified to find evidence that the brutal murder depicted in the game actually happened -- and he's the killer.A teenager is part of an interactive video game where he kills innocent victims. Later, the murders become real.",R
