id,title,plot,mpaa
0035423,Kate & Leopold,"Kate and her actor brother live in N.Y. in the 21st Century. Her ex-boyfriend, Stuart, lives above her apartment. Stuart finds a space near the Brooklyn Bridge where there is a gap in time. He goes back to the 19th Century and takes pictures of the place. Leopold -- a man living in the 1870s -- is puzzled by Stuart's tiny camera, follows him back through the gap, and they both ended up in the present day. Leopold is clueless about his new surroundings. He gets help and insight from Charlie who thinks that Leopold is an actor who is always in character. Leopold is a highly intelligent man and tries his best to learn and even improve the modern conveniences that he encounters.Leopold is an English and broken baron living in New York in the end of the Nineteenth Century. He needs to get married with a rich fiancée to recover his family position from ruin. Kate is a successful businesswoman living also in New York, but in 2001. Due to a time incident, they meet each other in the present days and they fall in love to each other.An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.",PG-13
0081145,Me and the Kid,"Two ex-cons, Harry (Aiello) and Roy (Pantoliano) execute a robbery they think will net them $250k. When they find the safe empty, Roy, decides to kidnap Gary, the eight year old son of their victims. Gary's hypochondriac mother has told the boy he is allergic to everything, keeping the lad from having a pet, going anywhere or doing anything. The boy is even home schooled and therefore has no friends his own age. When frustrated Roy wants to hurt and later kill the boy, Harry protects and then runs off with the kid leaving Roy tied up. Naturally Roy is angry, and being rather psychotic, he comes after Harry for revenge. Meanwhile, Gary has formed a strong attachment to Harry and the two have a wild adventure and wind up hiding out at a motel owned by a former sixties flower child. She falls for Harry and wants to help him escape the law. Then trouble starts from two directions and Harry must make a difficult choice about the future - both his and young Gary's.A lonely and emotionally neglected rich kid forms an attachment to one of the men who kidnap him during a botched robbery of his father's safe.",PG
0094859,Chief Zabu,"In 1986 Howard Zuker and Neil Cohen directed their first and only film, CHIEF ZABU, a low budget, audacious socio-political comedy about New York real estate operators who scheme to take over a Polynesian country while its leader is in New York seeking admission to the UN. Featuring a cast of legendary character actors - Allen Garfield (The Conversation), Zack Norman (Romancing the Stone), Allan Arbus (Putney Swope), Marianna Hill (The GodfatherAn outrageous social comedy about a New York realtor who dreams of having political influence by taking over a new Polynesian nation.",R
0094900,Committed,"Pursuing a new job after the shattering suicide of her friend and employer, a nurse applies at Dr. Quilly's world renowned facility. The discovery that the 'routine forms' she signed are actually her own commitment papers is just the beginning of a nightmare of confinement, delusion and murder.A nurse is taken hostage by a patient pretending to be a doctor and is forced to minister to everyone.",R
0094926,Curse of the Crystal Eye,A man travels through Asia and Africa seeking the treasure of Ali Baba.,R
0096154,Spies Inc.,"Spies from different nationalities stationed in a small Asian island work out a plot to create an international incident taking profit from it. Defrauding CIA through fake reports and running a front company using operating funds, they control the island and use the skills acquired in the service of their countries to pursue their personal dreams of wealth and happiness.",R
0097631,Judgement,"A musically talented Chicano teen gets involved with a gang after a music teacher throws him out of a classroom where he snuck in too practice the piano. Aligning himself with the gang, they sneak back in and destroy the music room. This leads to more major crimes including a drive by shooting. A judge (Chelsea Walker) then tries to aid the boy, whom she does not believe is the standard gang member.A juvenile court judge goes out of her way to try to aid a young man whom she believes has innocently gotten involved with a gang.",R
0097775,The Master,"Uncle Tak, the old martial-arts master and medicine in normal life has severe problems with his former student Jonny, who wants nothing more than to kill his old master to show everyone who the real master is. Uncle Tak wants Jet, his best student, to come over from China to the US. Jet gets no green card, but finally manages to come as a tourist. Jet is not familiar with the American way of life, but all the better with the way of fighting.Uncle Tak, owner of the Po Chi Lum herbal shop was on his way home when bad-boy ex-student Jonny shows up challenging him to a match. Jonny has defeated and killed every master there is and is now trying to prove he is the best to his street-gang disciples by killing his own master in unarmed combat. A fight begins (with the shop getting halfway demolished in the process) and Tak is badly beaten and wounded. Anna, a young college student on vacation shows up and rescues Tak and takes him to her home to get better. Enter Jet, Tak's disciple, who remained in China because he was afraid to come to America. Finally getting the courage, Jet comes to L.A. where he tries to understand American customs and ways of life and to reunite with his master. But he gets sidetracked when the Barrio Boyz (Rolando, Chui and Fernando) take his bag after he gets off the bus and Jet chases after them (using gymnastic skills along the way). The Barrio Boyz are amazed with Jet's skill and ask him to be their teacher. Jet refuses and then he meets up with them again and helps them when a rival gang torches their home and bullies them. Jet decides to look after the Barrio Boyz and they in turn help him search for Uncle Tak. Things get even more hectic when he meets May Hong, a woman who Uncle Tak pays his rent money to at the bank so his shop can stay open. May is having problems of her own with her sleazy boss, Paul Lee and the fact that Jet is around the shop that she was suppose to foreclose on doesn't help matters either. May and Jet get off on the wrong foot twice when they meet each other, but they eventually learn to get along. When Tak and Jet are finally reunited, Jet teaches the Barrio Boyz some of his fighting techniques and together, the group prepares for battle when Jonny sets deadly sites not only on finishing Tak, but Jet as well. And pretty soon, Jet is forced to turn from student to teacher and the City of Angels will never be the same!",R
0097928,Murder Blues,"A detective becomes obsessed with bringing a man to justice, whom he is sure is a serial killer and the murderer of a woman with which both men were involved. However, the supposed killer may be as much a victim as the murdered people.",R
0098372,Spirit of the Eagle,A famous mapmaker and his eagle friend venture through the forests of America's Northwest territories.,PG
0098467,They Call Me Macho Woman!,"Tromatic Super Heroine Susan Morris has to learn to fend for herself when she decides to escape from the urban jungle. While looking for a charming house in the country, she falls into the clutches of a band of brawny brutes - Mongo and his crew of corporate cretins. A once sweet working girl from the city, Susan is pushed to her limits and becomes a fearsome female warrior. She escapes imprisonment from the gang and, craving revenge, metamorphosizes into a heroic woodland creature. Armed with instruments of steel and skills derived from primitive survival instincts, she repels the evil onslaught. Macho Woman has arrived!A young widow on a trip to the backwoods stumbles upon the operation of a gang of drug smugglers. They attempt to kill her in order to keep their operation a secret, but she turns out to be more resourceful than they thought, and starts to turn the tables on them.",R
0099059,The Arrival,"When an old man witnesses a strange meteor land, he finds himself growing younger, but his renewed youth has a price; he must kill or die. He is a vampire, but it is not blood he needs to satisfy his cravings. A series of murders in which several women are brutally slain leads the police on a confusing chase across several states.An old man, who has been near a fallen meteor, starts to get younger and younger, with a terrible thirst for blood.",R
0099184,Buddy's Song,Buddy is an aspiring teenager who is a very good musician and has pressure to go further than his Dad's teddy boy rocker days. However when his father is sent away for a year for covering up for criminal Des it puts further strain on the family relationship. When Terry is released things get steadily harder while Buddy's career gets rosier.,R
0099236,Chaindance,"A prison decides that the best way to rehabilitate a particularly troublesome prisoner is to chain him to the wheelchair of a rebellious, bad-tempered young man with cerebral palsy. The government rationale behind this is three fold. First it will help a terribly understaffed nursing home. Second, being chained to a handicapped person may inspire caring in the prisoner and third, it could help to toughen up the patients...As a part of a special government reform program, inmate J.T. Blake has to take care of Johnny Reynolds who has cerebral palsy. In the meantime, another inmate wants to take care of J.T. Blake forever.",R
0099295,Complex World,"The Heartbreak Hotel nightclub in Providence is having a busy nightTerrorists, political conspiracy, drugs and bad music. Just another night at the Heartbreak hotel.",R
0099312,Cover-Up,"Mike Anderson (Dolph Lundgren), a tough American reporter on a dangerous foreign assignment, finds his own life in jeopardy when he uncovers a deadly labyrinth of political intrigue that threatens the lives of thousands in the action thriller ""Cover Up"". Despatched to investigate a mysterious and fatal attack on an overseas US naval base, Anderson, a leading investigative journalist and ex-US marine, finds himself back on familiar ground. Instinct makes him question the official CIA explanation that cites an unknown terrorist group called Black October. Alone, and armed only with his combat training and determination to uncover the truth, he sets out to expose a complex and dangerous political web. Anderson quickly discovers he can trust no-one. Renewing a fiery affair with his ex-Iover Susan Clifford, now the US Embassy press attachee, he soon finds himself confronting an old adversary, CIA boss Lou Jackson. And when his former marine colleague Colonel John Cooper is murdered moments after a secret rendezvous with him, Mike realises he holds the pieces to a deadly plot. In a race against time, Anderson battles to save the lives of thousands of innocent people, in a desperate attempt to prevent a deadly plan to create an international disaster of catastrophic proportions.A tough ex-U.S. Marine journalist battles against time to save the lives of thousands of innocent people after uncovering a complex terrorist plot.",R
0099379,Deadly Dancer,"A police detective, investigating a string of murders of strippers at a Los Angeles night club, must race against the clock to clear his name when he's wrongfully accused of being the killer.",R
0099388,Deathstalker IV: Match of Titans,"It begins as a contest of strength the challenge of competition luring fighters from far away to a hilltop castle. Deathstalker leads the combatants but only to discover that the winners are disappearing one by one. Now, in his last and greatest battle, Deathstalker must defend his remaining comrades, his life, and his newfound love in battle against an evil army of stone warriors and the wicked queen who created them.",R
0099397,Defenseless,"The lawyer Thelma ""T.K."" Knudsen Katwuller is having a love affair with her client, Steven Seldes, accused of making under-age porn movies through the Blue Screen Production. When T.K. meets her old college friend Ellie Seldes, she finds that she is Steven's wife and Ellie invites T.K. to have dinner with her family at her home. T.K. decides to break-up with Steven and he asks her to meet him in his office. While waiting for Steven, T.K. finds that he owns the Blue Screen Production and had lied to her. The next morning, Ellie is arrested and accused of murdering her husband and Ellie hires T.K. to defend her. Detective Beutel feels that something is missing in the case.Lawyer T.K. represents Steven Seldes who claims he is innocent of involvement in making under-age porn movies. He is also her lover, so when she meets his wife things are awkward for her - he didn't say he was married and his wife turns out to be an old student friend. Next day she confronts him at his office and a fight ensues.A lawyer is hired to defend an old college friend accused of murdering her husband.",R
0099462,Dream Machine,"As a reward from a jilted millionairess, Davis is given the $100,000 Porsche of the unfaithful husband. Unknown to Davis and the wife, the body of the husband is in the Porsche. The killer tries in vein to recover the body before it is discovered.",PG
0099524,Evil Toons,"Four sexy young girls are to clean an old house for the new owners. They get delivered an old book full of magic incantations, and while reading it they accidentally bring a cartoon character to life. The cartoon character likes the blood of young girls...A group of four hot teenage girls must spend the night in an old haunted house in order to receive a large amount of money. On the night of their arrival, a strange man arrives at the house, delivering an old book. Once he is gone, the girls examine the book, where they find a sketch of a wolf-like monster! As time passes, the drawing emerges from the book and becomes an evil toon! At one point, eventually, the girls must do whatever it takes to make the monster return to the book.Burt has a cleaning company and hires four women to clean an isolated house. They find an old book, a dagger and a soul shred and when one of them, Megan, reads an incantation, she unleashes an evil beast in our world.",R
