id,title,plot,mpaa
2406566,Atomic Blonde,"The crown jewel of Her Majesty's Secret Intelligence Service, Agent Lorraine Broughton (Theron) is equal parts spycraft, sensuality and savagery, willing to deploy any of her skills to stay alive on her impossible mission. Sent alone into Berlin to deliver a priceless dossier out of the destabilized city, she partners with embedded station chief David Percival (James McAvoy) to navigate her way through the deadliest game of spies.Just after the fall of Berlin's wall in 1989, MI6 secret agent, Lorraine Broughton, is sent to Cold War Germany to meet her contact, station chief David Percival, after the murder of a fellow undercover agent. With the intention to recover an invaluable microfilm containing a list of the names of every British spy, Lorraine must battle with waves of KGB agents and lethal henchmen in the bowels of a city at boiling point. Under those circumstances, as both sides want the list desperately, whom can Lorraine trust?An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.",R
0043456,The Day the Earth Stood Still,"An alien (Klaatu) with his mighty robot (Gort) land their spacecraft on Cold War-era Earth just after the end of World War II. They bring an important message to the planet that Klaatu wishes to tell to representatives of all nations. However, communication turns out to be difficult, so, after learning something about the natives, Klaatu decides on an alternative approach.A flying saucer orbits the 1950s Earth. It lands in Washington, DC, on the Mall. The lone occupant steps out and is shot by a jumpy soldier. Gort, a large and very powerful robot appears to save him and is able to melt tanks with the slightest bit of his power. The wounded alien orders Gort to stop his rampage and is taken to a hospital from which he escapes in order to learn more about this planet, even moving in as a boarder with an Earth family. When they begin to suspect him, he reveals himself, along with the news that Gort is a member of a race of super-robot enforcers invented to keep the peace of the galaxy that will destroy the Earth if provoked.An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.",G
0069768,Battle for the Planet of the Apes,"After conquering the oppressive humans in ""Conquest for the Planet of the Apes"", Caesar must now keep the peace among the humans and apes. Gorilla General Aldo views things differently, and tries to cause an ape civil war. In the meantime, other human survivors learn of the ape city, and decide they want to take back civilization for themselves, thus setting the stage of warring ape factions and humans.Ten years after a worldwide series of ape revolutions and a brutal nuclear war among humans, Caesar must protect survivors of both species from an insidious human cult and a militant ape faction alike.",G
0061385,Barefoot in the Park,"New Yorkers Paul Bratter and Corie Bratter née Banks have just gotten married. He is a stuffed shirt just starting his career as a lawyer. She is an independently minded free spirit who prides herself on doing the illogical purely out of a sense of adventure, such acts as walking through Washington Square Park barefoot when it's 17°F outside. Their six day honeymoon at the Plaza Hotel shows that they can get to know each other easily in the biblical sense. But they will see if they can get to know each other in their real life when they move into their first apartment, a cozy (in other words, small), slightly broken down top floor unit in a five story walk-up. While Corie joyfully bounds up and down the stairs, Paul, always winded after the fact, hates the fact of having to walk up the six flights of stairs, if one includes the stairs that comprise the outside front stoop. Beyond the issues with the apartment itself, Paul and Corie will have to deal with an odd assortment of neighbors, most specifically eccentric senior Victor Velasco, who lives in the unusual attic and who would like to consider himself a dirty old man. Corie, worried about her single straight-laced mother Ethel Banks, wants to set her up with Victor. Without Corie or Paul truly realizing it, Ethel and Victor as a twosome is as illogical as Corie and Paul. What happens between Ethel and Victor may be a predictor if Corie and Paul's marriage can make it in the long run.Paul Bratter, a conservative young lawyer, marries a vivacious young woman, Corrie. Their highly passionate relationship descends into comical discord in a five-flight New York City walk-up apartment.Combines love and laughs. Paul Bratter is a newly married lawyer. Corrie Bratter is a newly married woman whose main goal in life is to have fun and to have it with Paul. Together they learn how to live and love in an apartment that's laughably small in New York and located on the fifth floor of a building with no elevator. Corrie's mother has some of the funniest lines.Paul Bratter is Mister Straight. Corie is his new wife, who dedicates her life to the pursuit of fun. As the ecstasy of the honeymoon gives way to the reality of setting up housekeeping in a five-flight walk-up, the harmony of marriage turns to comical discord. The mother-in-law complains meekly. The middle-aged Lothario upstairs flirts. Joy turns to anguish. There is little doubt that the young people will kiss and make up by the end of the picture, just as there's little doubt that mother and the neighbor will find each other.Paul, a conservative young lawyer, marries the vivacious Corie. Their highly passionate relationship descends into comical discord in a five-flight New York City walk-up apartment.",G
0046534,The War of the Worlds,"H.G. Wells' classic novel is brought to life in this tale of alien invasion. The residents of a small town in California are excited when a flaming meteor lands in the hills. Their joy is tempered somewhat when they discover that it has passengers who are not very friendly.Scientist Clayton Forrester and Sylvia Van Buren are the first to arrive at the site of a meteorite crash. Soon after, an alien war machine emerges and begins killing at random. The Marines are called in, but they're no match for the aliens' force field. Forrester and Van Buren, however, are able to wound one of the creatures and procure a sample of its blood. They take it to Los Angeles where they hope, through testing, to be able to discover the aliens' weakness.The Martians unchain a direct assault to our planet, with hundreds of invulnerable ships. The invasion takes place all over the world, and all the major cities are destroyed one after one--even the atomic bomb can't stop them. But if the humans can't beat them, who can? Maybe something MUCH smaller....Producer George Pal's and director Byron Haskin's landmark adaptation of the classic H.G. Wells novel that focuses on the invasion of the Earth by Martian war machines.It's the 20th century and, to the unsuspecting human population, Martians are appearing on Earth with destruction on their mind. While everyone panics, Dr. Clayton Forrester and Sylvia Van Buren join together in hiding out away from all the mayhem.A small town in California is attacked by Martians, beginning a worldwide invasion.",G
0317219,Cars,"While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner.Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters--including Sally, a snazzy 2002 Porsche, Doc Hudson, a 1951 Hudson Hornet with a mysterious past, and Mater, a rusty but trusty tow truck, who help him realize that there are more important things than trophies, fame and sponsorship.On his way to the biggest race of his life, Lightning McQueen is disconnected from his truck hauler, Mack, and winds up in Radiator Springs, a small town in Carburetor County on Route 66. McQueen damages the road and has to repair it watched by the Sheriff or Mater. As McQueen fixes it, he meets a rusty old tow truck, a pretty Porsche, a grumpy old Hudson Hornet, a Ferrari-loving Fiat, and many more nice folks. But will McQueen be able to finish the road in time for the final race of the Dinoco 400?Lightning McQueen is a cocky, rookie race car. Speeding on his way to a big race, he crashes into Radiator Springs, destroying lots of the inhabitants belongings. In order to make up for what he did, the cocky roadster is sentenced to community service. Though he will do anything to get away from the work, McQueen must learn to respect and bond with the Radiator Springs inhabitants in order to get out of the town and back on the racetracks.Lightning McQueen is a young, hotshot rookie race car in the last race of the season. At the end of the race, he finds out he is tied with Chick Hicks and The King. On the way to the tie-breaker race in Los Angeles, California, some hot punk cars get him lost in a little town called Radiator Springs on the old Route 66 road, which has been long forgotten many years ago. Scared to death, he tears up the town's main road and is sentenced to community service by Doc Hudson. During this time, he meets a funny, but lovable tow truck named Mater and a beautiful Porsche Carrera named Sally. He also meets some other cars, whom which he finds to be quite odd. All he wants to do is get out of this town and back into the big city, but as the week until the race goes on, the town folk help him discover that life isn't just about trophies, fame, and sponsorships and McQueen learns about family and friendship.A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",G
0067809,Support Your Local Gunfighter,"James Garner plays a ladies' man who ends up on the run from a conquest. He has an embarrassing problem that requires a doctor, but that is not immediately disclosed. He and a town barsweep form a plot to impersonate a well-known gunfighter so that Garner can pay off his debts and skip town before the soon to come arrival of the real gunfighter. The cast is almost identical to Support Your Local Sheriff! (1969) and the humor is similar. TypicalA con artist arrives in a mining town controlled by two competing companies. Both companies think he's a famous gunfighter and try to hire him to drive the other out of town.",G
0052948,Journey to the Center of the Earth,"Prof. Lindenbrook leads his intrepid party on an expedition to the center of the earth, via a volcano in Iceland, encountering all manner of prehistoric monsters and life-threatening hazards on the way.In 1880, newly knighted Sir Oliver Lindenbrook, a renowned scientist teaching at the University of Edinburgh, inadvertently discovers evidence pointing to Arne Saknussemm, an Icelandic scientist from a few centuries earlier, who claimed to have found a pathway from the volcanoes in Iceland to the Earth's center. Sir Oliver writes to Swedish Professor Peter Goetabaug, an expert in world volcanoes, with his findings before proceeding with an expedition to prove Saknussemm's claim, but instead of hearing back from Goetabaug, Lindenbrook learns that Goetabaug has taken the information to glorify his own name via his own expedition. Student Alec McKuen (engaged to Lindenbrook's niece) joins Sir Oliver, quickly embarking for Iceland to beat Goetabaug to the center of the Earth. They find skulduggery in Iceland, with themselves attacked and Goetabaug murdered. Apparently there's a third party involved, whom they'll later learn to be Count Saknussemm, a descendant of Arne and a scientist in his own right. By now, Sir Oliver has recruited Hans Belker, a brawny Icelandic farmer with a beloved pet duck named Gertrude, to join them, but he must also reluctantly include Carla, Professor Goetabaug's widow, who will not provide them with her husband's prized equipment otherwise. As the four with Gertrude proceed on their precarious journey - with Carla and Sir Oliver often at odds with each other - they are initially unaware of the dangerous Count Saknussemm behind them, a crafty, cold-hearted, imperious man who initially needs to rely on Lindenbrook's expertise but who will stop at nothing to beat everyone to the Earth's center, believing this project and all its associated glory rightfully belong to him as a Saknussemm. The question ultimately becomes what to do if they make it to the center.Edinburgh university professor Sir Oliver Lindenbrook believes he has found an very old message from a long lost scientist who may have found the way to journey to the center of the Earth. With his assistant, student Alec McKuen, he sets off for Iceland where an entrance in a volcanic range is to be found. They are soon joined by Carla Goetabaug, whose scientist-husband was recently murdered, and Icelander Hans Belker as they descend into the bowels of the Earth. There they will find fantastic creatures, exotic plants, the lost city of Atlantis and a foe who wants to keep knowledge of this underworld to himself.In 1880, in Edinburgh, Professor Oliver S. Lindenbrook of the local university has been awarded with the title of ""Sir"" and his students have chipped in for a gift including a lava stone. Prof. Lindenbrook researches the lava and finds evidence that the scientist Saknussemm sent it from the center of the Earth one hundred years ago. He sends his findings to his colleague Prof. Peter Goetabaug of Stockholm to endorse his research. But soon he finds that Prof. Goetabaug has betrayed him and traveled to Iceland to organize an expedition to the center of the Earth. Prof. Lindenbrook travels with his protégée Alexander ""Alec"" McKuen to Iceland to organize his own expedition and discovers Prof. Goetabaug murdered by Count Saknussemm who wants to protect the discovery of his ancestor. Prof. Lindenbrook and Alec are forced to team-up with the widow Carla Goetabaug and the strong local Hans Belker who brings his duck Gertrude with him. The group goes to a volcano that is the entrance to the center of the Earth in the beginning of their amazing and dangerous journey.An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.",G
1114677,Hannah Montana: The Movie,"Miley Stewart is like any other teenage girl. She juggles friends, school and family, but unlike most teenagers, she is secretly a pop star called Hannah Montana. When her popularity starts to take control of her life, her father sends her on a vacation to his hometown in the Tennessee back country, to give her a perspective on what really matters in life.As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",G
0049408,The King and I,"Mrs. Anna Leonowens and her son Louis arrive in Bangkok, where she has been contracted to teach English to the children of the royal household. She threatens to leave when the house she had been promised is not available, but falls in love with the children. A new slave, a gift of a vassal king, translates ""Uncle Tom's Cabin"" into a Siamese ballet. After expressing her unhappiness at being with the King, the slave decides to make an attempt to escape with her lover. Anna and the King start to fall in love, but her headstrong upbringing inhibits her from joining his harem. She is just about to leave Siam but something important she finds out makes her think about changing her mind.Widowed Welsh mother Anna Loenowens becomes a governess and English tutor to the wives and many children of the stubborn King Mongkut of Siam. Anna and the king have a clash of personalities as she works to teach the royal family about the English language, customs and etiquette, and rushes to prepare a party for a group of European diplomats who must change their opinions about the king.After the death of her husband, Anna Owens moves from England to Siam with her son Louis to become a teacher for the children of the king of Siam. She finds Siamese customs to be quite different from English ones, which brings her often in conflict with the king. However, after some time they find themselves getting along much better.A widow accepts a job as a live-in governess to the King of Siam's children.",G
