id,title,plot,mpaa
0144084,American Psycho,"Patrick Bateman is handsome, well educated and intelligent. He is twenty-seven and living his own American dream. He works by day on Wall Street, earning a fortune to complement the one he was born with. At night he descends into madness, as he experiments with fear and violence.A wealthy New York investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",R
0332452,Troy,"It is the year 1250 B.C. during the late Bronze age. Two emerging nations begin to clash after Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband, Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans. But they come to a stop by Hector, Prince of Troy. The whole movie shows their battle struggles and the foreshadowing of fate in this remake by Wolfgang Petersen of Homer's ""The Iliad.""An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",R
2406566,Atomic Blonde,"The crown jewel of Her Majesty's Secret Intelligence Service, Agent Lorraine Broughton (Theron) is equal parts spycraft, sensuality and savagery, willing to deploy any of her skills to stay alive on her impossible mission. Sent alone into Berlin to deliver a priceless dossier out of the destabilized city, she partners with embedded station chief David Percival (James McAvoy) to navigate her way through the deadliest game of spies.Just after the fall of Berlin's wall in 1989, MI6 secret agent, Lorraine Broughton, is sent to Cold War Germany to meet her contact, station chief David Percival, after the murder of a fellow undercover agent. With the intention to recover an invaluable microfilm containing a list of the names of every British spy, Lorraine must battle with waves of KGB agents and lethal henchmen in the bowels of a city at boiling point. Under those circumstances, as both sides want the list desperately, whom can Lorraine trust?An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.",R
0166896,The Straight Story,"""The Straight Story"" chronicles a trip made by 73-year-old Alvin Straight from Laurens, Iowa, to Mt. Zion, Wis., in 1994 while riding a lawn mower. The man undertook his strange journey to mend his relationship with his ill, estranged, 75-year-old brother Lyle.Seventy-three year old Alvin Straight is a simple living and stubborn man who lives on his social security. He needs to do things on his own terms. He is in failing health. Both his hips are shot, which requires him to use two canes to walk. He is diabetic. He has emphysema from years of smoking. And he has poor eyesight. Beyond the obvious maladies, he doesn't tell his mentally disabled daughter Rose, who lives with him, of many of these issues. He learns that his brother Lyle Straight, from who he has been estranged for ten years, has just suffered a heart attack. Because of both his and Lyle's mortality, Alvin wants to make peace with his brother before it's too late, which means traveling from his home in the rural town of Laurens, Iowa to Lyle's home in rural Mount Zion, Wisconsin. As with other issues in his life, he needs to make the trip on his own terms, which means on his own. As he doesn't possess a driver's license and since his eyesight is bad, he decides to make the trip driving his aged riding lawn mover towing a trailer which will carry his gear and double as his sleeping quarters. After one mis-start, he is on his way. On that trip, he affects and is affected by those he encounters. But he just hopes that he can finish the trip the way he started it, and before either he, Lyle or the lawn mower give out for good.Alvin Straight is a very old man with a quiet life in a small country town. When his brother gets seriously sick, he decides to put away their differences and visit him after many, many years. So, alone, he begins a long journey through hundreds of miles, just to see again his brother, even if it's the last thing he will ever do... Based on a real story.An old man makes a long journey by lawnmower to mend his relationship with an ill brother.",G
0058182,A Hard Day's Night,"The Beatles--the world's most famous rock and roll band--travel from their home town of Liverpool to London to perform in a television broadcast. Along the way they must rescue Paul's unconventional grandfather from various misadventures and drummer Ringo goes missing just before the crucial concert.A day and a half in the life of the Fab Four leading up to a televised concert gig. The boys seem to be constantly on the run - from their crazed fans and from their manager, who is constantly trying to rein them in. Ringo however is arrested and still isn't in the studio half an hour before air time. With Paul's grandfather available for additional comical relief, the group performs a dozen or so songs.John, Paul, George and Ringo - collectively known as The Beatles - leave their Liverpool home base to head to London where they are to perform on television. There, they have a few official engagements beforehand, such as rehearsals at the studio and a press conference, otherwise they are stuck at the hotel. In addition, they want some free time out just to be lads, which may be difficult seeing as to throngs of adoring and screaming primarily young female fans following them wherever they are known to be. They also encounter a few people who would rather not associate with them because of different sensibilities, a few people who, when seeing only one at a time, wonder if they are who they look to be, and a few people who mistake them for someone else. Sheltered Ringo, in particular, takes advantage of what little freedom they have, which may cause problems for them all in the end. Helping them navigate through all these issues but also ensuring they do their work as celebrities are two of their managers, Norm and Shake, who are accompanying them on this trip and who are having a disagreement about height. Also along for the ride is Paul's paternal grandfather, John McCartney, who Paul's mum believes needs an outing to nurse a broken heart. Despite his outwardly innocent appearance, McCartney Sr. ends up being a mischievous soul, whose misadventures they all have to get him out of time and time again. But at least McCartney Sr. is clean, ""very clean""...A ""typical"" day in the life of The Beatles, including many of their famous songs.",G
0043456,The Day the Earth Stood Still,"An alien (Klaatu) with his mighty robot (Gort) land their spacecraft on Cold War-era Earth just after the end of World War II. They bring an important message to the planet that Klaatu wishes to tell to representatives of all nations. However, communication turns out to be difficult, so, after learning something about the natives, Klaatu decides on an alternative approach.A flying saucer orbits the 1950s Earth. It lands in Washington, DC, on the Mall. The lone occupant steps out and is shot by a jumpy soldier. Gort, a large and very powerful robot appears to save him and is able to melt tanks with the slightest bit of his power. The wounded alien orders Gort to stop his rampage and is taken to a hospital from which he escapes in order to learn more about this planet, even moving in as a boarder with an Earth family. When they begin to suspect him, he reveals himself, along with the news that Gort is a member of a race of super-robot enforcers invented to keep the peace of the galaxy that will destroy the Earth if provoked.An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.",G
1079968,Jack and the Beanstalk,"A fairy tale character who is about to flunk out of fairy tale school, Jack must perform a heroic deed by Monday or fail miserably, just like his father before him. Anxious to make good, Jack sells his C.O.W. (Computer of Wonder) for a handful of magic beans and a mysterious book that records his adventures as he's having them. Accompanied by his sidekick Grayson -- a goose who ate a bean and underwent an amazing transformation -- Jack climbs the magic beanstalk to recover the fabled Harp of Destiny from the evil Giant who lives in the sky. Helping Jack on his perilous quest is the spunky Jillian, a fearless young girl whom Jack meets on his journey -- and who just may have a hidden agenda...Jack goes up the beanstalk to rescue a little girl who has been transformed into a harp.",G
0069495,"What's Up, Doc?","Two researchers have come to San Francisco to compete for a research grant in Music. One seems a bit distracted, and that was before he meets her. A strange woman seems to have devoted her life to confusing and embarassing him. At the same time a woman has her jewels stolen and a government whistle blower arrives with his stolen top secret papers. All, of course have the same style and color overnight bag.This is the comic tale of four identical pieces of red plaid luggage and one San Francisco hotel, in the spirit of Howard Hawks but made by Peter Bogdanovich. One bag contains secret government files, another has expensive jewels and a third has igneous rocks. It is unclear what is in the fourth bag, carried by the would-be erudite Judy Maxwell...but all four bags end up at the Hotel Bristol. Judy has a yen for food and Dr. Howard Bannister and no ""off"" button. Dr. Bannister (deliciously deadpan and hunky, Ryan O'Neal) has a yen for igneous rock formations. When all four bags are hopelessly mixed up and Eunice, Howard's prim and bossy fiance (unforgettably played by Madeline Kahn) is kidnapped, only the long arm of the law, (i.e. the judiciary), can make any sense of the chaos. There are no palaeontologists or tigers but there are madcap antics, the obligatory San Francisco chase scenes and several clever one-liners.Howard Bannister travels to San Fransisco with his fiancé to compete for a musicology research grant, when he runs into a wild, unpredictable college drop out who brings ""havoc and chaos everywhere (she) goes."" Add to this a case of mistaken luggage, a jewel theft, and some government spies, and several plot twists.Mild mannered Dr. Howard Bannister is a professor of musicology at the Ames Conservatory of Music in Ames, Iowa. With his straight laced and controlling fiancée Eunice Burns, Howard is in San Francisco to attend the Congress of American Musicologists convention hosted by Frederick Larrabee. The Larrabee Foundation has shortlisted two finalists for the $20,000 Larrabee Grant, the two being pompous Hugh Simon and Howard, whose research involves prehistoric man making music with igneous rocks. Howard's life in San Francisco is turned upside down when he meets Judy Maxwell, a klutzy, directionless but brilliant young woman whose life is spent studying at one educational institution after another, her stint at each being until she's kicked out. It's love at first sight for Judy, who does whatever she can to insinuate herself into Howard's life. Further complications ensue as Howard, Judy, wealthy Mrs. Van Hoskins and reporter Mr. Smith - the latter two who are staying at the same hotel as Howard - all have the identical red plaid overnight bag respectively carrying Howard's igneous rocks, Judy's clothes, Mrs. Van Hoskins jewels and top secret government documents, the latter two which are eyed by others who are trying to get their hands on the contents.The accidental mix-up of four identical plaid overnight bags leads to a series of increasingly wild and wacky situations.",G
0069768,Battle for the Planet of the Apes,"After conquering the oppressive humans in ""Conquest for the Planet of the Apes"", Caesar must now keep the peace among the humans and apes. Gorilla General Aldo views things differently, and tries to cause an ape civil war. In the meantime, other human survivors learn of the ape city, and decide they want to take back civilization for themselves, thus setting the stage of warring ape factions and humans.Ten years after a worldwide series of ape revolutions and a brutal nuclear war among humans, Caesar must protect survivors of both species from an insidious human cult and a militant ape faction alike.",G
0045152,Singin' in the Rain,"1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the panTaking place during the rise of the ""talkies"", we meet Don Lockwood and Lina Lamont who have risen to stardom during the silent-film era of Hollywood. Beautiful, charismatic and influential, the two combine to make a great on-screen pair. The introduction of talking pictures poses a threat to the powerful duo, however, when it is discovered by audiences that Lina has an excruciatingly shrill voice. Enter young studio singer Kathy Selden, a woman who lacks the stardom of Ms. Lamont but possesses the beautiful voice of which Lina is in dire need. Can Don and Lina find a solution to Lina's laughably annoying voice to salvage their careers?In 1927, Don Lockwood and Lina Lamont are a famous on-screen romantic pair. Lina, however, mistakes the on-screen romance for real love. Don has worked hard to get where he is today, with his former partner Cosmo. When Don and Lina's latest film is transformed into a musical, Don has the perfect voice for the songs. But Lina - well, even with the best efforts of a diction coach, they still decide to dub over her voice. Kathy Selden is brought in, an aspiring actress, and while she is working on the movie, Don falls in love with her. Will Kathy continue to ""aspire"", or will she get the break she deserves ?In 1927, the former stunt Don Lockwood becomes a successful actor with the company of his best friend Cosmo Brown forming a romantic pair with the actress Lina Lamont. In the period of transition from silent movies to talking pictures, Don accidentally meets the aspirant actress Kathy Selden while escaping from his fans and fall in love for her. Lina has troubles with the sharp tune of her voice, and Cosmo and Don decide to dub her, using Kathy's voice, to save their movie. When the jealous Lina finds out the strategy of the studio, she does not want to share the credits with Kathy and tries to force the studio to use Kathy in the shadow to dub her in other productions. But when Lina decides to speech and sing to the audience, the truth arises.1927A silent film production company and cast make a difficult transition to sound.",G
