id,title,plot,mpaa
0115964,Crash,"Since a road accident left him with serious facial and bodily scarring, a former TV scientist has become obsessed by the marriage of motor-car technology with what he sees as the raw sexuality of car-crash victims. The scientist, along with a crash victim he has recently befriended, sets about performing a series of sexual acts in a variety of motor vehicles, either with other crash victims or with prostitutes whom they contort into the shape of trapped corpses. Ultimately, the scientist craves a suicidal union of blood, semen, and engine coolant, a union with which he becomes dangerously obsessed.James and Catherine Ballard are a married couple whose sex life has been reduced to recounting tales of mutual infidelity to turn each other on. One night, James causes a head-on collision with a car carrying Dr. Helen Remington, killing her husband and severely injuring her and himself. Subsequent encounters with each other find that she is oddly sexually aroused by the danger of car accidents and potential accidents, and, he soon falls in with a cult of car-crash fetishists and invites his wife to join in with them. The group is led by Vaughan, a former scientist twisted by his own disfigurement in an accident and, as a result, a man obsessed with car crashes as a liberation of sexual energy. Vaughan inducts the Ballards and Dr. Remington into his surreal world of sex in the back seats of cars, re-enactments of famous car crashes such as James Dean and Jayne Mansfield, viewing photos of accident victims, screenings of collision videos as a kind of pornography, and fender benders as mating rituals.After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",R
0103111,Hard to Die,"While doing the inventory for a lingerie outlet in a high rise office building, five attractive women are terrorised by a series of bizarre killings. They suspect that the strange janitor, who witnessed another series of killings years back, is at the bottom of the whole thing. Little do they know the real horror that they face in the end.Five buxom and scantily clad women are left alone to take inventory at a lingerie company. The janitor is kind of spooky, and there are rumors about him being involved in a tragic incident a few years back, and he's giving them the heebie-jeebies. They accidentally open a mysterious package and something other-worldly escapes, and they must fend for their lives.",NC-17
0058938,The Dolls,Four different facets of love Italian-style provide the basis of this episodic film.,NC-17
0463027,Descent,"In the winter of her senior year, Maya talks to Jared at a frat party, accepts his invitation to dinner at a nice restaurant, then goes to his apartment, just to talk. He assaults her. Her personality changes, she's withdrawn; she graduates and takes a job at a clothing store, staying apart from co-workers. At night, she's someone elseA college co-ed is brutally raped and struggles alone to rebuild her life.",R
0147612,Happiness,"A woman breaks up with her boyfriend, he thinks it's because he's fat. A man is unable to tell her next door neighbor he finds her sexually attractive. An old couple wants to split up, but they don't want to get a divorce. A therapist masturbates to teen magazines. An 11 year old kid is insecure about the fact that he hasn't cum yet. Office workers try to recall the face of a coworker who recently died. A woman is sure she has everything she could ever want. The lives of these individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",NC-17
0083907,The Evil Dead,"Five college students take time off to spend a peaceful vacation in a remote cabin. A book and audio tape is discovered, and its evil is found to be powerful once the incantations are read out loud. The friends find themselves helpless to stop the evil as it takes them one by one, with only one survivor left with the evil dead and desperately tries to fight to live until morning.Ash Williams, his girlfriend Linda and three other friends head off to a cabin deep in the Tennessee woods. They rented the cabin for a song - sight unseen - and find the place to be in good shape, though they encounter strange occurrences and noises almost from the moment they arrive. In the basement, they find a strange book and tape recordings with a translation of the text. In playing the tapes they release an evil force bent on killing them. One by one, they become possessed and attack the others. in the end, only one will survive.Five friends go up to a cabin in the woods, where they find unspeakable evil lurking in the forest. They find a tome called the ""Necronomicon"", Book of the Dead, and the taped translation of the text. Once the tape is played, the evil is released. One by one, the teens are possessed. With only one remaining, it is up to him to survive the night and battle the evil dead.Five friends go to a cabin in the woods for a vacation. They discover a volume called ""The Book of the Dead"" and a tape recorder belonging to a professor, who also owns the cabin. One of them plays back what is recorded on the tape-- which just happens to be Candarian resurrection passages translated from the Necronomicon (Book of the Dead) by the professor, which unleashes an evil force from the woods. The people start turning into evil deadites, and the others soon learn from the tape that the only way to kill a person who is turned into a deadite is by total body dismemberment. People are dying left and right; one girl early in the film looses control and runs off into the woods, only to be raped by the trees.Five friends are spending the weekend in a remote cabin in the woods. While investigating the cellar, they discover a tape and a decaying old book full of strange incantations. The tape is played and it unleashes powerful evil force from the forest that is determined to destroy every last one of them.Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",NC-17
0365125,A Dirty Shame,"Middle-aged, sexually repressed Sylvia Stickles is the subject of this John Water's film, set in North Baltimore. She refuses to have sex with her husband, Vaughn Stickles, and keeps her overly-endowed daughter, Caprice, locked in her room, while she serves home detention for moral depravity charges. Sylvia, together with her mother Big Ethel, lead a group calling themselves ""neuters"" that promotes decency on Harford Road. When Sylvia is accidentally hit on the head by a lawnmower hanging out of a passing pick-up truck, however, her sexual behavior is changed completely from prude to prostitute. She meets the sex addicted sexual healer Ray Ray Perkins, becoming his twelfth apostle of sex in a journey of pleasure and orgasm.Lust is in the air on Harford Road and Sylvia Stickles, a grumpy, repressed middle-aged Baltimorean, doesn't like it. Though Sylvia's handsome husband Vaughn still has marital urges, his wife could not be less interested -- she has more important things to do. Not only does Sylvia run the family's Pinewood Park and Pay convenience store, she's also responsible for watching over her exhibitionist daughter Caprice. A go-go dancer known to her adoring fans as Ursula Udders, Caprice and her stupendously enlarged breasts are currently under house arrest after several nude and disorderly violations. But Sylvia's world is turned upside down one day after suffering a concussion in a freak traffic accident. Sexy tow-truck driver Ray-Ray Perkins rushes to her aid, and the stricken Sylvia realizes he is no ordinary service man; he's a sexual healer who brings Sylvia's hidden cauldron of lust to the boiling point.An uptight, middle-aged, repressed woman turns into a sex addict after getting hit on the head, and she then falls into an underground subculture of sex addicts in suburban Baltimore.",R
0099762,Henry & June,"In 1931 Paris, Anais Nin meets Henry Miller and his wife June. Intrigued by them both, she begins expanding her sexual horizons with her husband Hugo as well as with Henry and others. June shuttles between Paris and New York trying to find acting jobs while Henry works on his first major work, ""Tropic of Cancer,"" a pseudo-biography of June. Anais and Hugo help finance the book, but June is displeased with Henry's portrayal of her, and Anais and Henry have many arguments about their styles of writing on a backdrop of a Bohemian lifestyle in Paris.",NC-17
0091495,Matador,"An ex-bullfighter who gets turned on by killing, a lady lawyer with the same fetish and a young man driven insane by his religious upbringing - these are the main characters in this stylish black comedy about dark sides of human nature.",NC-17
2278871,Blue Is the Warmest Color,"Adèle is a high school student who is beginning to explore herself as a woman. She dates men but finds no satisfaction with them sexually, and is rejected by a female friend who she does desire. She dreams of something more. She meets Emma who is a free spirited girl whom Adèle's friends reject due to her sexuality, and by association most begin to reject Adèle. Her relationship with Emma grows into more than just friends as she is the only person with whom she can express herself openly. Together, Adèle and Emma explore social acceptance, sexuality, and the emotional spectrum of their maturing relationship.On the verge of adulthood, Adèle, a wide-eyed and reserved 15-year-old schoolgirl, can only imagine the delicate touch, the odd, yet lingeringly fervid feeling of desire and the vehement outburst of emotions of her first teenage love. Indifferent to the fumbled sexual experience with a handsome classmate, instead, Adèle is infatuated with the alluring and intriguingly mysterious blue-haired older girl she encounters in the street. Inevitably, the bohemian stranger, Emma, will creep up in Adèle's dreams, haunting her late-night deep and untamed fantasies, however, it's not long before a youthful friendship will yield to an arduous, yet ardent romance between the innocent and audacious lovers. But growing up can be hard, and just like life, love can hurt.Adele (Adèle Exarchopoulos) is a young woman insecure of herself. When she meets a blue haired girl named Emma (Léa Seydoux), Adele will go through an unexpected but conventional path through adulthood, as we see in two parts how their relationship forms, how it grows and how it ends.Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",NC-17
