id,title,plot,mpaa
1482459,The Lorax,"In the walled city of Thneed-Ville, where everything is artificial and even the air is a commodity, a boy named Ted hopes to win the heart of his dream girl, Audrey. When he learns of her wish to see a real tree, Ted seeks out the Once-ler, a ruined old businessman outside of town in a stark wasteland. Upon hearing of how the hermit gave into his greed for profits and devastated the land over the protests of the Lorax, Ted is inspired to undo the disaster. However, the greedy Mayor of Thneed-Ville, Aloysius O'Hare, has made his fortune exploiting the environmental collapse and is determined to stop the boy from undermining his business.In the town of Thneedville, a walled city, everything is artificial even the trees. And the air is provided by the O'Hare Corporation for a price. Ted, a young man who likes a girl named Audrey who wants to see a real tree. And thinking that if he can find it will win her affections. So he talks to his mother and grand mother about it and his grandmother tells him to seek out someone called The Once-ler, which he does. He asks The Once-ler what happened to the trees, he tells Ted that it began when he wanted to create something he called Thneed. So he set out to find the material he needs to make it. And when he comes across a forest with trees with the most beautiful leaves, he thinks this is it. So he chops a tree down but then a creature who calls himself The Lorax who says he speaks for the trees and all the creature s in the forest, and he says that what he is doing--chopping down a tree is wrong. But he ignores him. He then stops talking and tells Ted to come back tomorrow. But when Ted tries to go out, O'Hare who knows what Ted is doing--trying to find a tree, tells him to stop it cause it could ruin O'Hare's business. So he makes sure Ted can go out. So Ted tries to find another way.A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",PG
0117008,Matilda,"Matilda Wormwood is an exquisite and intelligent little girl. Unfortunately, Matilda is misunderstood by her family because she is very different from their ways of life. As time passes, Matilda finally starts school that has a kindly teacher, loyal friends and a sadistic principal. As she gets fed up with the constant cruelty, Matilda begins to realize that she has a gift of telekinetic powers. After some days of practice, Matilda suddenly turns the tables to stand up to her parents and outwit the principal.Matilda Wormwood is an extremely intelligent little girl. Sadly, she is misunderstood by her family because she is very different. As time passes, Matilda starts a school that has a kind teacher, loyal friends and a kid hating principal. As she gets tired of the constant cruelty, she begins to realize she has telekinetic powers. After a few days of practice she learns to control her powers. She plans on turning the tables on the terrible grown ups in her life.A grouchy couple are parents to a very sweet girl, Matilda. Unlike her bratty brother and mean parents, Matilda becomes a very sweet and extremely intelligent 6 year old girl, who is very keen to go to school and read books. After a while, her parents send her to school with the worst principal in the world, a very sweet teacher, and good friends. While trying to put up with her parents' and principal's cruelty, she starts to unwittingly unleash telekinetic powers, destroying a television and making a newt fly onto the principal. With enough practice, Matilda starts to learn to control her telekinetic powers and soon using them on her principal so she can drive her away from the school.q9094956570Matilda is a bright little girl who is very eager to learn. Eventually, her insensitive parents send her to a school run by Miss (The) Trunchbull. She is a cruel authoritarian that loathes children. Matilda befriends her school teacher, Miss Honey. She soon realizes Matilda's talents, but is later amazed to see the full extent of Matilda's powers.This is the story of a sweet bright little girl named Matilda, who is a child of wondrous intelligence. But unfortunately she is different from the rest of her family. Ignored at home all the time, Matilda escapes into a world of reading, exercising her mind so much she develops telekinetic powers. Good thing, tooStory of a wonderful little girl, who happens to be a genius, and her wonderful teacher vs. the worst parents ever and the worst school principal imaginable.",PG
0295297,Harry Potter and the Chamber of Secrets,"Forced to spend his summer holidays with his muggle relations, Harry Potter gets a real shock when he gets a surprise visitorIt's Year 2 at Hogwarts, and Harry Potter, Ron and Hermione are back learning, but their year doesn't go past quietly. Members of the school are turning up petrified and bloody writing are appearing on the walls, revealing to everyone, that someone has opened the chamber of secrets. The attacks continue, bringing the possibility of the closure of Hogwarts. Harry and his friends are now forced to secretly uncover the truth about the chamber before the school closes or any lives are taken.When a crazy houself named Dobby arrives in Harry's room, he warns him that there is a plot to destroy Hogwarts and that he shouldn't return. Harry then starts hearing voices through the walls, students being petrified, and a girl who died in a bathroom. He soon finds out that it is a basilisk roaming in the Chamber Of Secrets, under the control from a memory of Lord Voldemort. Is Voldemort still inactive? Or will it be a friend of his being controlled?Harry Potter is in his second year of Hogwarts School of Witchcraft and Wizardry. He is visited by a house-elf named Dobby and warned not to go back to Hogwarts. Harry ignores his warning, and returns. He is still famous, although still disliked by Snape, Malfoy, and the rest of the Slytherins. But then, strange things start to happen. People are becoming petrified, and no-one knows what is doing it. Harry keeps hearing a voice.. a voice which seems to be coming from within the walls. They are told the story of the Chamber of Secrets. It is said that only Salazar Slytherin's true descendent will be able to open it. Harry, it turns out, is a Parsel-tongue. This means that he is able to speak/understand snakes. Everyone thinks that it's him that has opened the Chamber of Secrets because that is what Slytherin was famous for.Harry Potter returns to Hogwarts School of Wizardry for his second year. After a confrontation with a house elf named Dobby, Harry escapes to the Weasley house with Ron Weasley in a flying car. They are then late for the train and have to ride it to school. When they get there, strange happenings invade the school. ""Mudbloods"" (people of Muggle families) are ""petrified"" by an evil monster lurking in the grounds. When every one suspects that it is him, the trio then set out to find the culprit and find out more than they bargained forHarry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.",PG
1217209,Brave,"Set in Scotland in a rugged and mythical time, ""Brave"" features Merida, an aspiring archer and impetuous daughter of royalty. Merida makes a reckless choice that unleashes unintended peril and forces her to spring into action to set things right.Merida, a Scottish princess whose interests include archery and horse riding, is told by her mother that her interests are not what a princess should be doing and that she has to marry. But Merida chooses to defy her mother. And when she and her mother have an argument Merida rides off and meets a witch. She asks for a spell to change her mother. And the witch gives her a cake which she gives to her mother but the change is not what she was hoping for. So she tries to find a way to fix it.Merida, a red headed princess who lives in a castle located in Scotland. Her Mother, Elinor is an elegant queen who is trying to teach Merida to be a true princess but she doesn't want to. Merida gets so fed up that she runs into a witch hut and she creates a spell pastrie to give to Elinor. After she eats it, she becomes a hideous beast and Merida must save her mother from staying like this beast forever. All Merida wanted was to be free and have her Mother stop being so controlling. Can she save her Mother or will Elinor stay as this beast permanently?Merida, the impetuous, but courageous, daughter of Scottish King Fergus and Queen Elinor, is a skilled archer who wants to carve out her own path in life. Her defiance of an age-old tradition angers the Highland lords and leads to chaos in the kingdom. Merida seeks help from an eccentric witch, who grants her an ill-fated wish. Now, Merida must discover the true meaning of courage and undo a beastly curse before it's too late.Atypical of a traditional young princess, Merida, the plucky aristocrat of the rugged medieval highland Scotland, would rather perfect her archery skills than prepare herself to be a queen and accept the burden of royal obligations for the sake of the land. As a result, the rebellious and headstrong Merida who has none of her mother's attempts to arrange an unwelcome betrothal will flee the castle in a fit of rage, only to enter the enchanted dark forest--home of the powerful and devious local witch. Unwisely, the desperate girl hopes that a potent magical incantation may be the solution to her problems; however, to change one's destiny, one must first change what's inside him. Will Merida face the grievous consequences and finally take responsibility for her actions?Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",PG
1587310,Maleficent,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal - an act that begins to turn her pure heart to stone. Bent on revenge, Maleficent faces a battle with the invading king's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and perhaps to Maleficent's true happiness as well.A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",PG
0056172,Lawrence of Arabia,"Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence is sent to Arabia to find Prince Faisal and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali, Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port.An inordinately complex man who has been labeled everything from hero, to charlatan, to sadist, T.E. Lawrence blazed his way to glory in the Arabian desert, then sought anonymity as a common soldier under an assumed name. The story opens with the death of Lawrence in a motorcycle accident in Dorset at the age of 46, then flashbacks to recount his adventuresThe story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",PG
1985949,The Angry Birds Movie,"In the 3D animated comedy, The Angry Birds Movie, we'll finally find out why the birds are so angry. The movie takes us to an island populated entirely by happy, flightless birds - or almost entirely. In this paradise, Red (Jason Sudeikis, We're the Millers, Horrible Bosses), a bird with a temper problem, speedy Chuck (Josh Gad in his first animated role since Frozen), and the volatile Bomb (Danny McBride, This is the End, Eastbound and Down) have always been outsiders. But when the island is visited by mysterious green piggies, it's up to these unlikely outcasts to figure out what the pigs are up to. Featuring a hilarious, all-star voice cast that includes Bill Hader (Trainwreck, Inside Out), Maya Rudolph (Bridesmaids, Sisters), and Peter Dinklage (Game of Thrones), as well as Kate McKinnon (Saturday Night Live, Ghostbusters), Keegan-Michael Key (Key & Peele), Tony Hale (Veep, Arrested Development), Tituss Burgess (Unbreakable Kimmy Schmidt), Ike Barinholtz (Neighbors, Sisters), Hannibal Buress (Daddy's Home, Broad City), Jillian Bell (22 Jump Street), Danielle Brooks (Orange is the New Black), Latin music sensation Romeo Santos, YouTube stars Smosh (Ian Hecox and Anthony Padilla), and country music superstar Blake Shelton, who writes and preforms the original song ""Friends,"" the Columbia Pictures/Rovio Entertainment film is directed by Fergal Reilly and Clay Kaytis and produced by John Cohen and Catherine Winder. The screenplay is by Jon Vitti, and the film is executive produced by Mikael Hed and David Maisel.In the Bird Island, all birds live in peace and happily, well most of them. Red is a bird that can't get enough with anything and his temper problems prevents him from having friends. And when the green piggies visit their island, Red finds out that the pigs must be up to something as the piggies were suspicious to him. He decided to finds out with the quick Chuck and explosive BombOn an island populated with birds an easily tempered flightless bird named Red lives happily with his best friends Chuck and Bomb until these pigs show up. Everyone loves these pigs but Red thinks something is going on and he figures out that the pigs are stealing their precious eggs. Red, Chuck, and Bomb along with a few fellow citizens must head to their layer and take down those piggies!Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",PG
1490017,The Lego Movie,"The LEGO Movie is a 3D animated film which follows lead character, Emmet a completely ordinary LEGO mini-figure who is identified as the most ""extraordinary person"" and the key to saving the Lego universe. Emmet and his friends go on an epic journey to stop the evil tyrant, Lord Business.The evil plans of Lord Business to ensure order in his world with a powerful weapon is in jeopardy as a prophecy about 'Special' comes true with the discovery of 'Piece of Resistance'. With odds like Bad Cop, Micro managers and 'Man from upstairs' stacked against him during his journey to save the world; Emmett, a construction worker, has a long way to go before he succeeds.Emmet Brickowski a normal, everyday normal minifigure goes on a adventure with the master builders Wyldstyle, Benny, Unikitty, and even Batman. The master builders have to defeat the evil Lord/ President Business from Kragling (gluing) the world of lego.An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",PG
1623205,Oz the Great and Powerful,"Oscar Diggs (James Franco), a small-time circus magician with dubious ethics, is hurled away from dusty Kansas to the vibrant Land of Oz. At first he thinks he's hit the jackpot-fame and fortune are his for the taking. That all changes, however, when he meets three witches, Theodora (Mila Kunis), Evanora (Rachel Weisz), and Glinda (Michelle Williams), who are not convinced he is the great wizard everyone's been expecting. Reluctantly drawn into the epic problems facing the Land of Oz and its inhabitants, Oscar must find out who is good and who is evil before it is too late. Putting his magical arts to use through illusion, ingenuity-and even a bit of wizardry-Oscar transforms himself not only into the great and powerful Wizard of Oz but into a better man as well.In 1905, in Kansas, the small-time circus magician Oscar ""Oz"" Diggs is a weak, greedy, selfish and womanizer conman without character. He gives music boxes to the women that he seduces, and when a strong artist finds that his wife has a box in her belongings, he chases Oz through the circus. Oz flees in a balloon, but a tornado strikes his balloon and he lands on the Land of Oz. Oscar meets the gorgeous Theodora and she believes that he is the powerful magician from an ancient prophecy that will release her land from the Wicked Witch. Theodora tells that her sister and she are good witches, but the Wicked Witch had killed the king. Now the people are waiting for the magician to be their new king after defeating the witch. Theodora is seduced by Oz and brings him to the City of Emerald. When he sees the king's treasure, he decides to seek out the Wicked Witch and destroy her magic wand to get rid off her and become the king. Oz meets Glinda, who is supposed to be the Wicked witch, and soon he learns that Theodora's sister Evanora is the evil one indeed. Meanwhile Evanora lures he sister that is jealous and uses a spell to turn her into a wicked witch. Oscar learns that he is the only hope for the inhabitants of Oz that believe that he is a powerful magician and his only chance to defeat Evanora and Theodora is using illusion since he has no magic power.Stranded with his hot air balloon during a wild tempest, Oscar ""Oz"" Diggs, an ambitious and smug magician of a travelling circus, he will eventually land in the mythical Land of Oz. In the streets of the Emerald city, he will encounter many strange creatures as well as the good people of Oz who will all see him as the wizard who was prophesied to save the peaceful land from the clutches of the Wicked Witch. Sooner or later, Oscar will have to use all of his tricks that hides in his sleeves, equal doses of imagination and sensory manipulation by means of theatrical illusion, all topped with a sprinkle of magic to prove without a doubt that he can be indeed the Great Wizard of Oz.A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.",PG
0486576,Fantastic 4: Rise of the Silver Surfer,"Everything seems to be going great for the Fantastic Four. Reed and Sue are finally getting married, and things couldn't seem better. However, when the mysterious Silver Surfer crashes things, they learn that they will have to deal with an old foe, and the powerful planet eating Galactus.After defeating Von Doom, the Fantastic Four can really enjoy life more. All four are now comfortable with their new powers. The Thing and Johnny Storm now get along with each other, and Sue Storm is now planning to be Mrs. Fantastic. Galactus, an evil creature in space, has decided that Earth is its new target, and sends the Silver Surfer to destroy it. Reed Richards and his team must now work together to capture this surfer, and even must now team up with one individual who they didn't expect to help.The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.",PG
