id,title,plot,mpaa
6644200,A Quiet Place,"Two parents do what it takes to keep their children safe in a world full of creatures hunting every sound they can hear. Not a sound can be heard from the family hiding in silence, but all it takes is one noise and everything can go wrong.On a devastated Earth overrun by lethal and ever-hearing predators of a possible extraterrestrial origin, the Abbotts struggle to survive in a desolate New York City in a new era of utter silence. As this new type of invader is attracted to noise, even the slightest of sounds can be deadly; however, it's been already twelve months since the powerful monsters' first sightings, and this resilient family still stands strong. To learn the rules of survival in this muted dystopia is essential; nevertheless, an otherwise joyous event is threatening an already frail stability. Now, more than ever, don't make a sound.In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",PG-13
5270948,Chappaquiddick,"The scandal and mysterious events surrounding the tragic drowning of a young woman, as Ted Kennedy drove his car off the infamous bridge, are revealed in the new movie starring Jason Clarke as Ted Kennedy and Kate Mara as Mary Jo Kopechne. Not only did this event take the life of an aspiring political strategist and Kennedy insider, but it ultimately changed the course of presidential history forever. Through true accounts, documented in the inquest from the investigation in 1969, director John Curran and writers Andrew Logan and Taylor Allen, intimately expose the broad reach of political power, the influence of America's most celebrated family; and the vulnerability of Ted Kennedy, the youngest son, in the shadow of his family legacy.Depicting Ted Kennedy's involvement in the fatal 1969 car accident that claims the life of a young campaign strategist, Mary Jo Kopechne.",PG-13
0795421,Mamma Mia!,"Set on a colorful Greek island, the plot serves as a background for a wealth of ABBA songs. A young woman about to be married discovers that any one of three men could be her father. She invites all three to the wedding without telling her mother, Donna, who was once the lead singer of Donna and the Dynamos. In the meantime, Donna has invited her backup singers, Rosie and Tanya.The 20-year old bride-to-be Sophie Sheridan finds in her mother's diary that the strangers Sam, Harry or Bill might be her father. The needy Sophie dreams on having her father walking with her to the altar on her wedding with Sky in the Greek Kalokairi Island and she invites the three men to her wedding as if she were her mother Donna. Sophie believes she will immediately recognize her father in the trio of guests. Donna owns a simple hotel in the island and used to sing with her friends Rosie and Tanya, who also arrives in Kalokairi for the wedding, in their band Donna and the Dynamos. When Donna sees her former three lovers together in her hotel, she gets stressed and confused with the situation while Sky is upset with Sophie's attitude.Many people are descending on the Greek island of Kalokairi, specifically to the rustic resort hotel called the Villa Donna, owned and operated by single mother Donna Sheridan, for the wedding of Donna's twenty year old daughter Sophie to her boyfriend Sky. Three of the people who are coming to the wedding but that Donna doesn't know are coming are architect Sam Carmichael, banker Harry Bright and sailor Bill Andersson, none of who Donna has seen in over twenty years. Unknown to her, Sophie invited the three since she, who gleaned as much from secretly reading Donna's diary, knows that the three were men involved in her mother's life when she was conceived and thus surmises that one of them must be her father. She wants that man to walk her down the aisle and give her away. With help from her bridesmaids Lisa and Ali, Sophie tries to figure out which is her father. When Donna sees the three men, she, with the help of her best friends and former singing partners Rosie Mulligan and Tanya Wilkinson, also tries to figure out what she will do with these three. Meanwhile, the men, who didn't know each other or of each other before arriving on the island, quickly surmise the reason why they were invited, each believing he is indeed Sophie's father. As complications ensue from the misunderstandings, Sophie and Sky's wedding and relationship may be jeopardized, while, finding what is truly in their hearts, many may discover the course of true love.Sophia Sheridan is 20 years old and lives with her mother Donna on an idyllic Greek island. She is about to be married and wishes for only one thingThe story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.",PG-13
2231461,Rampage,"Primatologist Davis (Dwayne Johnson) shares an unshakable bond with George, the extraordinarily intelligent silverback gorilla who has been in his care since he was young. When a greed-fueled corporation's genetic experiment goes awry, George and other animals across the country are mutated into aggressive supercreatures who destroy everything in their path. In this adrenaline-filled ride, Davis tries to find an antidote, not only to halt a global catastrophe but also to save the fearsome creature who was once his friend.Sharing a special bond with George, the extraordinary albino silver-back gorilla, the retired U.S. Army soldier and now a San Diego Wildlife Preserve primatologist, Davis Okoye, will see everything in his life turn upside down when his intelligent companion is accidentally exposed to Dr Kate Caldwell's gene-mutating pathogen. As George along with two other unsuspecting animals grow into ravenous monsters of gargantuan proportions, a frenzied race against the clock commences, as Davis and Dr Kate struggle to find a possible antidote. Suddenly, Chicago becomes a dangerous battlefield. Can the team make it in time before the mutants level the entire city?When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",PG-13
1748122,Moonrise Kingdom,"Set on an island off the coast of New England in the 1960s, as a young boy and girl fall in love they are moved to run away together. Various factions of the town mobilize to search for them and the town is turned upside down - which might not be such a bad thing.September, 1965, a storm is three days away from the New England coast. At an island camp, a Khaki Scout's gone missingNew Penzance Island, 1965. Twelve year old Sam Shakusky has left a note for Randy Ward, Master of Khaki Scout Troop 55, that he has voluntarily left Camp Ivanhoe at Fort Lebanon, where the troop is stationed, and is resigning from the scouts. It isn't until this incident that Master Ward finds out that Sam is an orphan in the foster care system, Mr. and Mrs. Herbert Billingsley, who operate a foster care factory of sorts, his current foster parents. This information was not included within Sam's file. This event places Sam's status within the social services system in jeopardy. Master Ward, with the Island's Police Department's Captain Duffy Sharp and all of Khaki Scout Troop 55, go on a quest for the missing Sam, a task which evokes mixed emotions from the troop members, most who don't like Sam and see him as being emotionally disturbed. Elsewhere on the island, married lawyers Walt and Laura Bishop find that their oldest of four offspring and only daughter, twelve year old Suzy Bishop, is also missing. From a stack of correspondence they find, which amount to love letters, they learn that Suzy has probably run off with Sam, who they don't even know. With Sam's scouting knowledge and Suzy's plentiful stock of supplies, they may be able to elude their trackers for quite a while. But as this large group search for the young pair, what they hope to accomplish may change as they come to understand Sam and Suzy's individual and combined situations.A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",PG-13
0482571,The Prestige,"In the end of the Nineteenth Century, in London, Robert Angier, his beloved wife Julia McCullough and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences.Set in London in the 1800's, two rival magicians read each others diary containing the secrets of their magic tricks and personal life. As we go back in time when the diaries were written, both magicians become obsessed with their rival's best trick. The tricks, as shown to the audience, look the same, but neither magician can figure out how his opponent does it.Two magicians who used to be partners battle over years in order to create a flawless method for the ultimate disappearing trick, ""the Transported Man"", turns into an informal war between them and soon, they will do anything to be able to preform the trick sooner and better than the other; which as time passes makes their friends and loved ones get away from them and little-by-little destroys their lives until they eventually succeed to preform the trick- each by a very different way.In Victorian London, illusionist Alfred Borden is on trial for the murder of fellow illusionist Robert Angier. Borden's indictment is largely possible because of the eyewitness account of John Cutter, who saw Borden backstage in the area where Angier was killed. At the end of one of his shows, Angier fell through a trap door in the stage floor into a clear water-filled tank below, that tank which is a prop for one of Angier's tricks performed earlier in the show. Angier ended up drowning as the tank was locked after he fell into it. Borden, Angier and Cutter have a shared largely turbulent history, which also provides motive. Early in their magic careers, both Borden and Angier worked under ""Milton the Magician"", while Angier's wife Julia worked as his on-stage assistant, and Cutter as his ingénieur - staging the tricks and providing the apparatus required - work that he still does for others. Based on a specific incident during this stage of their relationship led to both Borden and Angier striking out creating their own shows and they having a feud which was not only in the professional realm but a personal one, where each man wanted to ruin the other. While Borden is arguably more accomplished in the technical aspects of the illusions, Angier is the more accomplished showman. In the professional realm, they tried to outdo each other, especially in the illusions considered either the most dangerous and/or mysterious, those two being catching the shot bullet trick, and more so the transported man trick. In the process of their feud, they seemingly were not averse to any means, even with collateral damage of others. The question is if those means extend to murder, especially of the other.A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences. From the time that they first met as young magicians on the rise, Robert Angier and Alfred Borden were competitors. However, their friendly competition evolves into a bitter rivalry making them fierce enemies-for-life and consequently jeopardizing the lives of everyone around them. Set against the backdrop of turn-of-the-century London.After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",PG-13
4765284,Pitch Perfect 3,"After the highs of winning the World Championships, the Bellas find themselves split apart and discovering there aren't job prospects for making music with your mouth. But when they get the chance to reunite for an overseas USO tour, this group of awesome nerds will come together to make some music, and some questionable decisions, one last time.Now graduated from college and out in the real world where it takes more than a cappella to get by, all the Bellas return in the final chapter in the beloved series. After the highs of winning the World Championships , the Bellas find themselves split apart and discovering there are no job prospects for making music only with your mouth. But when they get a chance to reunite for an European USO tour, this group of awesome nerds will come together to make some music, and some questionable decisions, one last time.Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",PG-13
0119567,The Lost World: Jurassic Park,"A research team is sent to an island miles away from the previous home of Jurassic Park, to document and photograph the now liberated dinosaurs. However, InGen the BioEngineering company has sent another larger team to the same island to catch, sedate, and transport some dinosaurs to San Diego where they will be used in a new Jurassic Park location. But life always finds a way. Will both teams return to the mainland with successful findings? Or will another tragedy occur?Four years after the failure of Jurassic Park on Isla Nublar, John Hammond reveals to Ian Malcolm that there was another island (""Site B"") on which dinosaurs were bred before being transported to Isla Nublar. Left alone since the disaster, the dinosaurs have flourished, and Hammond is anxious that the world see them in their ""natural"" environment before they are exploited.Ian Malcolm is recruited by John Hammond to lead a research team to Isla Sorna, an island 87 miles to the south of Isla Nublar (the site of the original Jurassic Park). Here, InGen Bioengineering had constructed the secret ""Site B"", where the dinosaurs were actually bred and then transported to the park. Hammond's nephew, who has taken control of InGen, leads his own team to the island to capture the dinos and bring them back to the U.S. to become attractions at a ""dino park"" in San Diego. The dinos cause havoc and have a field day with the movable ""feast.""With the apparent public discovery of the 'Site B' production island full of dinosaurs, John Hammond assembles a team to visit and document the area before it is exploited by others. Included in the four man team are Dr. Ian Malcolm and his girlfriend, Dr. Sarah Harding. When the team reaches the island, they soon discover the presence of another group of people. This new group however are not there for biological data but instead have something more sinister in mind. After a series of events, both groups become stranded when all their communication equipment is lost. It is then that the terror really begins as both groups scramble for their lives.The film picks up four years after the disaster at Jurassic Park. On a nearby island, dinosaurs have secretly survived and been allowed to roam free but now there is a more ominous threat--a plan to capture and bring the dinosaurs to the mainland. John Hammond, who has lost control of his InGen company, sees a chance to redeem himself for his past mistakes and sends an expedition led by Ian Malcolm to reach the island before the mercenary team gets there. The two groups confront each other in the face of extreme danger and must team up for their own survival in a race against time.A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda.",PG-13
4799066,Midnight Sun,"Based on the Japanese film, Midnight Sun centers on Katie, a 17-year-old sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.A 17-year-old girl suffers from a condition that prevents her from being out in the sunlight.",PG-13
3062096,Inferno,"Famous symbologist on a trail of clues tied to the great Dante himself. When Langdon wakes up in an Italian hospital with amnesia, he teams up with Sienna Brooks, a doctor he hopes will help him recover his memories. Together, they race across Europe and against the clock to stop a madman from unleashing a global virus that would wipe out half of the world's population.Robert Langdon is in Italy. He wakes up in a hospital with no memory of recent events. He appears to have suffered some head trauma. He's being treated by Dr. Sienna Brooks. Suddenly someone dressed as a policeman comes in and starts shooting, trying to get to Langdon. Brooks helps him. Langdon finds he received an email from a friend in Italy who told him that he too is being hunted, and he's gone into hiding with what they took. Of course he has no idea what he is talking about. He finds something in his belongings that reveals the Map of Hell which is inspired by Dante's Inferno. He learns about a man Bertrand Zobrist, a billionaire who believes the world is too overpopulated and that drastic measures are needed. He plans to release a virus which he created to kill most of the planet's population. Evidently he's inspired by Dante so Langdon needs to find out what he is planning, while he's being pursued by people from the World Health Organization, and one of them is someone he knows.Wounded by a bullet and suffering from severe memory lapses, Professor Langdon is hospitalised in Florence. Unable to explain his predicament to his attending doctor, Dr Sienna Brooks, the professor is bombarded by hellish visions of eternally damned sinners, and riddled with questions about the events that preceded his accident. Under those circumstances, unknown forces will violently attempt to locate Langdon to retrieve a hi-end, fingerprint-protected container that points to Bertrand Zobrist, a billionaire biomedical engineer, with a vision of a better world which stems from Dante Alighieri's Inferno. Once again on the run with Dr Sienna, the team will try to navigate through the obscure conspiracy that lies before them, attempting to decipher even the slightest of clues, in a wild hunt all over Europe. ""Cerca Trova"" or ""Seek and ye shall Find""; however, at the end of the line when the search is finally over, what mysteries await?The geneticist Bertrand Zobrist is hunted down by three men and commits suicide from the top of a tower in Florence. Zobrist believes that the Earth's population that has an exponential growth should be reduced in 50% to save the other 50%. In Florence, Professor Robert Langdon awakens in a hospital with no memory of the last two days and with daydreams and dreadful visions. Dr. Sienna Brooks explains that he has a head trauma cause by a bullet that scratched his head and he would recover his memory in a few days. Out of the blue, a doctor tells that the police wants to interrogate him and a police officer, who is indeed the killer Vayentha, shoots the doctor but Sienna and Langdon succeeds to escape to her apartment. Langdon finds a Faraday pointer in the pocket of his jacket and when they project the image, they see the Map of Dante's Inferno by Sandro Botticelli. They contact the American Consulate but give the wrong address nearby the apartment. Soon the area is under siege of the World Health Organization (WHO) agents and the local police, including Vayentha, and Langdon and Sienna conclude that Zobrist has created a virus to annihilate the world's population. But who can be trusted?When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",PG-13
