id,title,plot,mpaa
0144084,American Psycho,"Patrick Bateman is handsome, well educated and intelligent. He is twenty-seven and living his own American dream. He works by day on Wall Street, earning a fortune to complement the one he was born with. At night he descends into madness, as he experiments with fear and violence.A wealthy New York investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",R
0332452,Troy,"It is the year 1250 B.C. during the late Bronze age. Two emerging nations begin to clash after Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband, Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans. But they come to a stop by Hector, Prince of Troy. The whole movie shows their battle struggles and the foreshadowing of fate in this remake by Wolfgang Petersen of Homer's ""The Iliad.""An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",R
2406566,Atomic Blonde,"The crown jewel of Her Majesty's Secret Intelligence Service, Agent Lorraine Broughton (Theron) is equal parts spycraft, sensuality and savagery, willing to deploy any of her skills to stay alive on her impossible mission. Sent alone into Berlin to deliver a priceless dossier out of the destabilized city, she partners with embedded station chief David Percival (James McAvoy) to navigate her way through the deadliest game of spies.Just after the fall of Berlin's wall in 1989, MI6 secret agent, Lorraine Broughton, is sent to Cold War Germany to meet her contact, station chief David Percival, after the murder of a fellow undercover agent. With the intention to recover an invaluable microfilm containing a list of the names of every British spy, Lorraine must battle with waves of KGB agents and lethal henchmen in the bowels of a city at boiling point. Under those circumstances, as both sides want the list desperately, whom can Lorraine trust?An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.",R
3416536,Hot Summer Nights,A boy comes of age during a summer he spends in Cape Cod.,R
0137523,Fight Club,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power. When the narrator is exposed to the hidden agenda of Tyler's fight club, he must accept the awful truth that Tyler may not be who he says he is.A young man leads a pretty humdrum life assessing car crashes to determine if his automobile company should issue recalls to fix problems. He also suffers from insomnia and takes to attending group therapy sessions for people who have survived various diseases. There he meets Marla who like him attends these sessions though she is neither a victim nor a survivor. His life changes when he meets Tyler Durden on a flight home. Tyler seems to be everything that he's not and together they create a men-only group for bare knuckle fighting. It soon becomes all the rage with fight clubs springing up across the country and the group itself becoming an anti-capitalist domestic terrorist organization. Tyler and Maria develop a relationship leaving him often on the outside of what is going on. He soon finds that the group is out of control and after a major self-revelation decides there is only one way out.An insomniac unnamed narrator needs a fantasy to escape from his deadly boring life, he tries joining a cancer support group however the only thing they do in the group is cry into each others chest, but then he is on a plane on his way back from what a viewer would assume is a business trip our unnamed narrator encounters Tyler Durden, a soap selling badass who happens to run a secret fight club in the diner parking lot with his friend who follows 8 simple rules set out by Tyler, our unnamed narrator of course is taken into this scheme ran by Tyler...An insomniac man who is an ordinary worker of a huge company, an IKEA buyer and classic consumer of capitalist system is very bored of his ordinary and routine life and meets with a person that is totally who he wants to be. And after that his life changes, with his new friend he creates a fight club that is gonna evolve very big movement all over country that even he can't imagine.A middle-aged insomniac lives a pretty basic life except for using cancer support groups weekly to help him sleep until he meets Tyler Durden. Tyler Durden is the absolute opposite of the main character. Together, Tyler and our unnamed narrator, start an underground fighting club, make soap, out of human fat, to sell to rich people, wreak havoc on the city and terrorize most of everyone around them.A young urban professional who works for a major car manufacturer can't sleep. Although he doesn't have any of the associated afflictions, he stumbles across support groups as a means to let out whatever emotions he is feeling, which in turn allows him to sleep. But the use of these support groups is ruined when he meets a young woman named Marla Singer, who is also going to all these support group meetings. Because he knows she too is not afflicted with any of the maladies for which the groups exist, her presence has lessened the impact of the stories he hears. His life changes when he meets a soap manufacturer named Tyler Durden, who in many ways is the antithesis of the insomniac. Due to unusual circumstances with his own condo, the insomniac moves in with Tyler, who lives in a large dilapidated house in an otherwise abandoned part of town. After a bit of spontaneous roughhousing with Tyler in a bar parking lot, the insomniac finds it becomes a ritual between the two of them, which helps him cope with the other more difficult aspects of his life. The fights also attract a following, others who not only want to watch but join in. Understanding that there are other men like them, the insomniac and Tyler begin a secret fight club. As the fight club's popularity grows, so does its scope in all aspects. Marla becomes a circle not specifically of the fight clubs but of Tyler and the insomniac's collectives lives. As the nature of the fight clubs becomes out of control in the insomniac's view, the insomniac's life, in association, is one where he no longer understands what is happening around him, or how he can get out of it without harming himself.An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",R
3170832,Room,"ROOM tells the extraordinary story of Jack, a spirited 5-year-old who is looked after by his loving and devoted mother. Like any good mother, Ma dedicates herself to keeping Jack happy and safe, nurturing him with warmth and love and doing typical things like playing games and telling stories. Their life, however, is anything but typical--they are trapped--confined to a 10-by-10-foot space that Ma has euphemistically named Room. Ma has created a whole universe for Jack within Room, and she will stop at nothing to ensure that, even in this treacherous environment, Jack is able to live a complete and fulfilling life. But as Jack's curiosity about their situation grows, and Ma's resilience reaches its breaking point, they enact a risky plan to escape, ultimately bringing them face-to-face with what may turn out to be the scariest thing yetFive year old Jack's entire life consists of his Ma and whatever he has where they live, Room. Room is an approximate ten by ten by ten foot cubed structure, out of which he's never been. Seven years ago, Ma - Joy Newsome, the daughter of Bob and Nancy Newsome - was abducted by ""Old Nick"", the man who is keeping them captive in Room, which is really a tool shed in his back yard, the shed's only door secured by a number coded keypad, the code which only Old Nick knows. They are dependent on Old Nick for their basic necessities, such as food, water, clothes and utilities. Whenever Old Nick does stay for extended visits in Room, Ma will not let Jack see him or visa versa, Jack who is supposed to hide ""asleep"" in the wardrobe. Old Nick has no desire to see his biological offspring anyway. To shield him from anything that is happening to them, Ma has told Jack that the two of them and Old Nick are the only real things, and that what Jack reads about in books or sees on television are all not real. Jack believes that Old Nick gets their food by magic from television. The only exposure they have to natural light is a skylight at the top of Room, out of which they can only see sky. Joy knows she can't kill Old Nick because they would still be locked in Room. Joy tried to escape only once before Jack was born, that attempt which failed and which resulted in her not having tried again... until now. She has made this decision to try to escape partly due to Jack's age where he can now understand things better, and an incident which showed Joy what were to happen if something truly did happen to Old Nick with them locked inside. If they are able to escape, not only would Jack be required to adjust to a life and a world he may have no comprehension about, but Joy may find that the outside world is much more difficult to adjust to than she imagines, and not only because of the changes to outside in seven years.A mother, Joy, and her five-year old son, Jack, are held captive in a one-room shed. She was abducted by a stranger, Nick, and has been there for seven years. Jack was born there and the room is his entire world. Then one day they escape and get to live normal lives. For Jack, the world he now is confronted by is a very foreign place.A mother and her 5 year old son, who have been held captive for 7 years, finally escape and gain freedom from their captor, but escape to a dramatic homecoming and have to deal with the pressures of the real world in this powerful and suspenseful Drama.A mother and her son escape from a room in which they have endured imprisonment for the entirety of her son's life. Upon breaking free from its confines; they experience a dramatic homecoming, provoking insight into the depths of imagination and the extent of a mother's love.A young boy is raised within the confines of a small shed.",R
0071562,The Godfather: Part II,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.The life of Vito Corleone is shown as he becomes from a boy born in Sicily to one of the most respected mafia dons of New York while Micheal attempts to expand his business empire into Las Vegas, Florida and pre-revolution Cuba while facing his own personal problems trying to keep his collapsing marriage and relationship with his brother intact.The continuation of the Godfather saga with two focusesThe early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R
5540992,Shock and Awe,"A group of journalists covering George Bush's planned invasion of Iraq in 2003 are skeptical of the president's claim that Saddam Hussein has ""weapons of mass destruction.""",R
0859635,Super Troopers 2,"When a border dispute arises between the U.S. and Canada, the Super Troopers are tasked with establishing a Highway Patrol station in the disputed area.",R
2322441,Fifty Shades of Grey,"When Anastasia Steele, a literature student, goes to interview the wealthy Christian Grey as a favor to her roommate Kate Kavanagh, she encounters a beautiful, brilliant and intimidating man. The innocent and naive Ana starts to realize she wants him. Despite his enigmatic reserve and advice, she finds herself desperate to get close to him. Not able to resist Ana's beauty and independent spirit, Christian Grey admits he wants her too, but on his own terms. Ana hesitates as she discovers the singular tastes of Christian Grey - despite the embellishments of success, his multinational businesses, his vast wealth, and his loving family, Grey is consumed by the need to control everything.Literature student Anastasia Steele goes to interview billionaire Christian Grey and discovers a beautiful, yet troubled, man. She discovers herself wanting to be with him, despite his stalker-like tendencies. She soon discovers Grey is consumed by a desire to control everything, including her very life.In Washington, the shy and naive English literature college student Anastasia ""Ana"" Steele goes to Seattle to interview the twenty-seven year-old self-made billionaire Christian Grey in his office to help her roommate Kate Kavanagh that is graduating in journalism and has influenza. When Ana meets Christian, she feels disturbed with him since he is handsome and self-confident. Soon he visits her at the hardware store where she works and invites Ana for a coffee, but he leaves her telling that he is not the man for her. On the graduation day, Christian sends first editions of romances to Ana as a gift. After the graduation, Ana, Kate and their friends go to a bar and Ana drinks too much. She calls Christian and tells that she will return the books since they are expensive and he goes to the bar and brings Ana to his hotel room. Christian dates Ana and offers a non-disclosure agreement to her to keep in secret their relationship. Ana does not sign the contract but loses her virginity with Christian that wants to introduce her in bondage since he is a dominant sadist. However Ana is seeking a romance and not sadomasochist relationship. Will they stay together?When Anastasia Steele, a sensitive and guileless English major, begins interviewing the telecommunications magnate and enigmatic bachelor, Christian Grey, almost instantly, she will yield to the secretive tycoon's charms. However, his tastes are singular and he doesn't do romance, so, before long, Christian will offer an unusual agreement that will eventually bring the romantic Anastasia into his well-hidden world. Little by little, as Christian urges Anastasia to finally explore her limits in an unrestrained passion, the ambivalent lover will try to mend a broken heart, only to find out that for love's salted wounds, there are no safe words.Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",R
