id,title,plot,mpaa
0104225,Falling from Grace,"Rock singer John Mellencamp makes his screen and directorial debut in this story by ""Lonesome Dove"" author, Larry McMurtry. The story, not too separated from Mellencamp's real life, finds him as a country music star whose meanderings and philandering has thrown his life into turmoil. Returning to his native Indiana to try to reestablish a normal life. Instead he takes up with an old lover (Lenz), ignoring his loving wife (Hemingway), and duplicating the lifestyle of his womanizing father (Akins).",PG-13
0104231,Far and Away,"A young man leaves Ireland with his landlord's daughter after some trouble with her father and they dream of owning land at the big give-away in Oklahoma ca. 1893. When they get to the new land, they find jobs and begin saving money. The man becomes a local bare-hands boxer and rides in glory until he is beaten, then his employers steal all the couple's money and they must fight off starvation in the winter and try to keep their dream of owning land alive. Meanwhile, the woman's parents find out where she has gone and have come to the U.S. to find her and take her back.Joseph Donnelly, a young Irish man facing property eviction after his father's death, decides to take revenge on Daniel Christie, his landlord. In an attempt to kill Christie, however, he is injured and sentenced to a duel with Christie's arrogant manager, Stephen Chase. Meanwhile, Shannon, Daniel's daughter, is growing dissatisfied with the traditional views of her parents' generation and longs to be modern. She makes her plans to leave for the U.S. and with her help, Joseph is able to escape. Upon arriving in Boston, they find jobs and begin saving money. Joseph becomes a local bare-hands boxer, while Shannon works in a chicken processing plant and then as a dancer at the social club. All goes well until Joseph loses a boxing match, after which their money is taken away. Joseph and Shannon are left to starve in the winter cold. Shannon's parents, still in Ireland, face a devastating loss and decide to come to America to be with her. Chase, who joined them, has begun a campaign to find her, but his efforts are unnecessary Joseph brings Shannon to them after an accident. Joseph then heads west to work on the railroad. After many months, Joseph is confronted by his father in a dream and is reminded of his desire to own his own land. Joseph decides to join the wagon trains and arrives in Oklahoma Territory just in time for the big land race, upon which his fate will lie.A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.",PG-13
0104233,Fatal Bond,"Leonie Stevens, a bored hairdresser, is caught up with a drifter who claims he's in the car business, and has a strong interest in avoiding the law. But as they travel through New South Wales, a corpse is left behind them, and she begins to wonder just how far he will go, and what she will do to help him.A restless hairdresser takes up with a man (Joe Martinez) she knows is wanted by the police. It is only when she realizes that he may be a serial killer, that she starts questioning the relationship.",PG-13
0104237,Damage,"A member of Parliament (Irons) falls passionately in love with his son's fiancée. They pursue their affair with obsessive abandon despite the dangers of discovery and what it would do to his complacent life and his son. Completely obsessed, he wants to give up his current lifestyle to be with her. She has no intention of allowing him to do this, preferring to have her marriage to the son as a cover. They are eventually discovered, and must deal with the damage. Based on the novel by Josephine Hart.A member of Parliament falls passionately in love with his son's fiancée despite the dangers of discovery.",PG-13
0104240,Fathers & Sons,A beach runner and bookworm (Goldblum) has difficulty communicating with his son. He meets a psychic on a pier at the beach and soon his world turns topsy-turvy with a serial killer coming between him and his son. The ensuing E.S.P. experiences and danger bond father and son.,R
0104249,Female Misbehavior,"Four documentaries in one. One has Camille Paglia explaining her ways of thinking. One has Annie Sprinkle explaining her approach to performance art, which includes inviting audience members to view her cervix with a speculum. One interview investigates a professional woman's preoccupation with sadomasochism. The fourth documents the life adjustments of an F2M (female-to-male) sex change who looks like a dangerous biker, with slick black hair, a matching motorcycle jacket, and tattoos.BONDAGE - In 'Bondage,' Carol, dressed in peekaboo leather, explains the appeal of S & M, tit torture, and the 'very warm, very safe, very secure' feeling of bondage. ANNIE - The eponymous star of 'Annie' is born-again porn queen (now performance artist) Annie Sprinkle, who transforms herself from mouse into sex kitten. DR. PAGLIA - 'Dr. Paglia' is a portrait of Camille Paglia, professor for humanities at the University of the Arts in Philadelphia, who catapulted herself into infamous stardom with her book ""Sexual Personae."" She has been called brilliant, outrageous, 'the intellectual pin-up of the 90s,' an anti-feminist feminist, and 'an academic rottweiler.' MAX - 'Max' is a portrait of Max Valerio who used to be Anita Valerio, a lesbian Native American from San Francisco. A couple of years ago Anita felt that she was no longer comfortable in her female body. Identifying herself as a heterosexual male, she embarks on a journey to become a man.",R
0104254,FernGully: The Last Rainforest,"The fairies live in a peaceful place in the forest called FernGully which has been protected for many years by Magi, a wise fairy with strong powers. Her granddaughter Crysta is a charming, beautiful fairy that is very intrigued about the world outside of FernGully. She along with the other fairies in the forest do not believe humans exist and are only in stories, until a crazy bat by the name of Batty, comes and tells them all these crazy stories about how he was captured by humans and experimented on. At first no one believes him except Crysta and she is determined to find out if humans are real. She goes to a place called Mount Warning, where the evil shadow of destruction Hexxus is known to be trapped, and finds a human named Zak. When he is almost crushed by a tree Crysta accidentally shrinks him to fairy-size and he falls on a tree that is about to be devoured by ""The Leveller"". ""The Leveller"" is a wood cutting machine that has been cutting down every tree the humans have been putting red Xs on. Crysta saves Zak from ""The Leveller"" which she thinks is just a monster but she cannot properly un-shrink him. To avoid her being mad at him Zak tells her that the red Xs keep the monster back instead of what they are really there for, which is to pick which trees to cut down. They decide to take Zak to Magi so she can un-shrink him, on the way Zak sees the forest really for the first time with all its beauty and life. Back toward Mount Warning the humans have accidentally released Hexxus who is set on destroying FernGully, he uses ""The Leveller"" to cut down all the trees to FernGully. When Crysta, Zak, and Batty make it back to FernGully, the fairies cannot believe the Zak is really a human and they all excited to see him and learn about him. The only one who is truly worried is Magi, she goes to check on the path to FernGully and sees that it is beginning destroyed and Hexxus is coming this way. She shows Crysta the red Xs and tells her the trees cannot be saved. With Hexxus drawing closer and closer to FernGully, Magi calls for all the fairies to come around to tells them of the danger. She uses the last of her magic to try and protect FernGully.The fairy people of FernGully have never seen humans before, but when Crysta sees one, Zak, she accidentally shrinks him down to her size. But there is trouble in FernGully, for Zak is part of a logging team who is there to cut down the forest.FernGully is a rain forest that is home to a race of fairies who have never seen humans and believe that they only exists in stories. That is, until the arrival of Batty, a wacky bat who tells the fairies that he has seen the humans. Curious when she sees smoke from Mount Warning, a fairy named Crysta travels beyond FernGully and discovers a group of humans is destroying the rain forest. Crysta discovers a human named Zak who is helping destroy the rain forest and accidentally shrinks him. After discovering the beauty of FernGully, Zak and Crysta learn that the fairies and FernGully itself are in mortal danger. The humans have freed Hexxus, an evil oil-like creature who a long time ago was turned into a tree when he tried to unleash chaos in FernGully. Hexxus has taken over ""The Leveler"" a logging machine, and he begins his evil scheme to destroy FernGully. Only Zak, Crysta, Batty, Pips, and the Beetle Boys can defeat Hexxus and save FernGully from destruction.FernGully, a spectacular rain forest where a bat named Batty, whose radar has gone haywire, joins together with Crysta, Pips and the Beetle Boys to save their world from the evil Hexxus. Ignoring the warnings of her friends, Crysta, the curious tree fairy, explores the world beyond FernGully. She discovers Zak, a human who is helping to demolish the rain forest. Once Zak sees the beauty and magic of FernGully, he vows to save it. But it may be too late. The diabolical Hexxus is on the loose and is intent on destroying all of Ferngully.The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus.",G
0104257,A Few Good Men,"In this dramatic courtroom thriller, LT Daniel Kaffee, a Navy lawyer who has never seen the inside of the courtroom, defends two stubborn Marines who have been accused of murdering a colleague. Kaffee is known as being lazy and had arranged for a plea bargain. Downey's Aunt Ginny appoints Cmdr. Galloway to represent him. Also on the legal staff is LTJG Sam Weinberg. The team rounds up many facts and Kaffee is discovering that he is really cut out for trial work. The defense is originally based upon the fact that PFC Santiago, the victim, was given a ""CODE RED"". Santiago was basically a screw-up. At Gitmo, screw-ups aren't tolerated. Especially by Col. Nathan Jessup. In Cuba, Jessup and two senior officers try to give all the help they can, but Kaffee knows something's fishy. In the conclusion of the film, the fireworks are set off by a confrontation between Jessup and Kaffee.At Guantanamo Marine Base, a private is attacked by 2 other marines and dies as a result. An investigation is conducted by Lt. Commander Jo Galloway and reveals to her superiors that she believes that the private was attacked by because he was going over the head of Colonel Jessup, the base commander and was threatening to reveal something unless he gets a transfer, so Jessup ordered a ""code red"" which is basically a type hazing done which is not legal. Galloway wants to be assigned to defend the 2 marines but her superior prefers that the whole go away quietly so he denies her request and has the case assigned to Lt. Dan Kaffee, a Naval lawyer who hasn't tried a case in court and prefers to plea his cases out. But Galloway warns him that if he pleads the case out, Jessup will get away with murder. Kaffee decides not to plead the case out and tries to defend them but there's no proof that Jessup actually gave the order.Subpar Guantanomo Bay marine PFC William Santiago mysteriously died after his platoon mates Lance Corporal Harold Dawson and PFC Landon Downy give him a ""code red."" The two are charged with his murder and Liutentent Daniel Kaffee is assigned lead defense counsel on the case. Assisting Kaffe on the case are Liutentent Sam Weinberg and Liutentent Commander Joanne Galloway. On the opposing side are Crn. Nathan Jessup, a harsh marine with something to hide, and Johnothan Kendrick, Santiago's strict and suspicious platoon commander. the movie follows the struggle for Kaffee, Golloway, and Weinberg to prove their client's innocence against the prosecution.The factsMilitary lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.",R
0104265,Final Analysis,"A psychiatrist (Gere) has an affair with his patient's sister (Basinger) who is married to a Greek mobster (Roberts). The mobster is a tyrant over his wife. The psychiatrist wants her to get a divorce, but she is afraid of what her husband would do. She has a medical condition that becomes apparent when she drinks. One night she drinks anyway and attacks her husband. The psychiatrist uses his professional pull to try and help her out of the consequences of her actions, but becomes uncertain if she is telling him the truth.A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both.",PG
0104266,Final Embrace,"Candy Vale has it all. Hip and sexy she rules the MTV crowd with her voluptuous voice and her beautiful body until one morning, when the police discover her brutally beaten corpse...Enter Laurel, Candy's younger sister, who is determined to uncover the mystery of her sister's death. She teams with Kyle, a hotblooded young cop. What the two discover is a world where music and murder dance hand in hand and best friends can quickly turn into deadly enemies.A detective assigned to protect a pop singer gets romantically involved with her twin sister after the singer is murdered.",PG-13
