id,title,plot,mpaa
0144084,American Psycho,"Patrick Bateman is handsome, well educated and intelligent. He is twenty-seven and living his own American dream. He works by day on Wall Street, earning a fortune to complement the one he was born with. At night he descends into madness, as he experiments with fear and violence.A wealthy New York investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",R
0332452,Troy,"It is the year 1250 B.C. during the late Bronze age. Two emerging nations begin to clash after Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband, Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans. But they come to a stop by Hector, Prince of Troy. The whole movie shows their battle struggles and the foreshadowing of fate in this remake by Wolfgang Petersen of Homer's ""The Iliad.""An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",R
0166896,The Straight Story,"""The Straight Story"" chronicles a trip made by 73-year-old Alvin Straight from Laurens, Iowa, to Mt. Zion, Wis., in 1994 while riding a lawn mower. The man undertook his strange journey to mend his relationship with his ill, estranged, 75-year-old brother Lyle.Seventy-three year old Alvin Straight is a simple living and stubborn man who lives on his social security. He needs to do things on his own terms. He is in failing health. Both his hips are shot, which requires him to use two canes to walk. He is diabetic. He has emphysema from years of smoking. And he has poor eyesight. Beyond the obvious maladies, he doesn't tell his mentally disabled daughter Rose, who lives with him, of many of these issues. He learns that his brother Lyle Straight, from who he has been estranged for ten years, has just suffered a heart attack. Because of both his and Lyle's mortality, Alvin wants to make peace with his brother before it's too late, which means traveling from his home in the rural town of Laurens, Iowa to Lyle's home in rural Mount Zion, Wisconsin. As with other issues in his life, he needs to make the trip on his own terms, which means on his own. As he doesn't possess a driver's license and since his eyesight is bad, he decides to make the trip driving his aged riding lawn mover towing a trailer which will carry his gear and double as his sleeping quarters. After one mis-start, he is on his way. On that trip, he affects and is affected by those he encounters. But he just hopes that he can finish the trip the way he started it, and before either he, Lyle or the lawn mower give out for good.Alvin Straight is a very old man with a quiet life in a small country town. When his brother gets seriously sick, he decides to put away their differences and visit him after many, many years. So, alone, he begins a long journey through hundreds of miles, just to see again his brother, even if it's the last thing he will ever do... Based on a real story.An old man makes a long journey by lawnmower to mend his relationship with an ill brother.",R
0058182,A Hard Day's Night,"The Beatles--the world's most famous rock and roll band--travel from their home town of Liverpool to London to perform in a television broadcast. Along the way they must rescue Paul's unconventional grandfather from various misadventures and drummer Ringo goes missing just before the crucial concert.A day and a half in the life of the Fab Four leading up to a televised concert gig. The boys seem to be constantly on the run - from their crazed fans and from their manager, who is constantly trying to rein them in. Ringo however is arrested and still isn't in the studio half an hour before air time. With Paul's grandfather available for additional comical relief, the group performs a dozen or so songs.John, Paul, George and Ringo - collectively known as The Beatles - leave their Liverpool home base to head to London where they are to perform on television. There, they have a few official engagements beforehand, such as rehearsals at the studio and a press conference, otherwise they are stuck at the hotel. In addition, they want some free time out just to be lads, which may be difficult seeing as to throngs of adoring and screaming primarily young female fans following them wherever they are known to be. They also encounter a few people who would rather not associate with them because of different sensibilities, a few people who, when seeing only one at a time, wonder if they are who they look to be, and a few people who mistake them for someone else. Sheltered Ringo, in particular, takes advantage of what little freedom they have, which may cause problems for them all in the end. Helping them navigate through all these issues but also ensuring they do their work as celebrities are two of their managers, Norm and Shake, who are accompanying them on this trip and who are having a disagreement about height. Also along for the ride is Paul's paternal grandfather, John McCartney, who Paul's mum believes needs an outing to nurse a broken heart. Despite his outwardly innocent appearance, McCartney Sr. ends up being a mischievous soul, whose misadventures they all have to get him out of time and time again. But at least McCartney Sr. is clean, ""very clean""...A ""typical"" day in the life of The Beatles, including many of their famous songs.",PG-13
1079968,Jack and the Beanstalk,"A fairy tale character who is about to flunk out of fairy tale school, Jack must perform a heroic deed by Monday or fail miserably, just like his father before him. Anxious to make good, Jack sells his C.O.W. (Computer of Wonder) for a handful of magic beans and a mysterious book that records his adventures as he's having them. Accompanied by his sidekick Grayson -- a goose who ate a bean and underwent an amazing transformation -- Jack climbs the magic beanstalk to recover the fabled Harp of Destiny from the evil Giant who lives in the sky. Helping Jack on his perilous quest is the spunky Jillian, a fearless young girl whom Jack meets on his journey -- and who just may have a hidden agenda...Jack goes up the beanstalk to rescue a little girl who has been transformed into a harp.",PG-13
0069495,"What's Up, Doc?","Two researchers have come to San Francisco to compete for a research grant in Music. One seems a bit distracted, and that was before he meets her. A strange woman seems to have devoted her life to confusing and embarassing him. At the same time a woman has her jewels stolen and a government whistle blower arrives with his stolen top secret papers. All, of course have the same style and color overnight bag.This is the comic tale of four identical pieces of red plaid luggage and one San Francisco hotel, in the spirit of Howard Hawks but made by Peter Bogdanovich. One bag contains secret government files, another has expensive jewels and a third has igneous rocks. It is unclear what is in the fourth bag, carried by the would-be erudite Judy Maxwell...but all four bags end up at the Hotel Bristol. Judy has a yen for food and Dr. Howard Bannister and no ""off"" button. Dr. Bannister (deliciously deadpan and hunky, Ryan O'Neal) has a yen for igneous rock formations. When all four bags are hopelessly mixed up and Eunice, Howard's prim and bossy fiance (unforgettably played by Madeline Kahn) is kidnapped, only the long arm of the law, (i.e. the judiciary), can make any sense of the chaos. There are no palaeontologists or tigers but there are madcap antics, the obligatory San Francisco chase scenes and several clever one-liners.Howard Bannister travels to San Fransisco with his fiancé to compete for a musicology research grant, when he runs into a wild, unpredictable college drop out who brings ""havoc and chaos everywhere (she) goes."" Add to this a case of mistaken luggage, a jewel theft, and some government spies, and several plot twists.Mild mannered Dr. Howard Bannister is a professor of musicology at the Ames Conservatory of Music in Ames, Iowa. With his straight laced and controlling fiancée Eunice Burns, Howard is in San Francisco to attend the Congress of American Musicologists convention hosted by Frederick Larrabee. The Larrabee Foundation has shortlisted two finalists for the $20,000 Larrabee Grant, the two being pompous Hugh Simon and Howard, whose research involves prehistoric man making music with igneous rocks. Howard's life in San Francisco is turned upside down when he meets Judy Maxwell, a klutzy, directionless but brilliant young woman whose life is spent studying at one educational institution after another, her stint at each being until she's kicked out. It's love at first sight for Judy, who does whatever she can to insinuate herself into Howard's life. Further complications ensue as Howard, Judy, wealthy Mrs. Van Hoskins and reporter Mr. Smith - the latter two who are staying at the same hotel as Howard - all have the identical red plaid overnight bag respectively carrying Howard's igneous rocks, Judy's clothes, Mrs. Van Hoskins jewels and top secret government documents, the latter two which are eyed by others who are trying to get their hands on the contents.The accidental mix-up of four identical plaid overnight bags leads to a series of increasingly wild and wacky situations.",R
0045152,Singin' in the Rain,"1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the panTaking place during the rise of the ""talkies"", we meet Don Lockwood and Lina Lamont who have risen to stardom during the silent-film era of Hollywood. Beautiful, charismatic and influential, the two combine to make a great on-screen pair. The introduction of talking pictures poses a threat to the powerful duo, however, when it is discovered by audiences that Lina has an excruciatingly shrill voice. Enter young studio singer Kathy Selden, a woman who lacks the stardom of Ms. Lamont but possesses the beautiful voice of which Lina is in dire need. Can Don and Lina find a solution to Lina's laughably annoying voice to salvage their careers?In 1927, Don Lockwood and Lina Lamont are a famous on-screen romantic pair. Lina, however, mistakes the on-screen romance for real love. Don has worked hard to get where he is today, with his former partner Cosmo. When Don and Lina's latest film is transformed into a musical, Don has the perfect voice for the songs. But Lina - well, even with the best efforts of a diction coach, they still decide to dub over her voice. Kathy Selden is brought in, an aspiring actress, and while she is working on the movie, Don falls in love with her. Will Kathy continue to ""aspire"", or will she get the break she deserves ?In 1927, the former stunt Don Lockwood becomes a successful actor with the company of his best friend Cosmo Brown forming a romantic pair with the actress Lina Lamont. In the period of transition from silent movies to talking pictures, Don accidentally meets the aspirant actress Kathy Selden while escaping from his fans and fall in love for her. Lina has troubles with the sharp tune of her voice, and Cosmo and Don decide to dub her, using Kathy's voice, to save their movie. When the jealous Lina finds out the strategy of the studio, she does not want to share the credits with Kathy and tries to force the studio to use Kathy in the shadow to dub her in other productions. But when Lina decides to speech and sing to the audience, the truth arises.1927A silent film production company and cast make a difficult transition to sound.",PG-13
0120623,A Bug's Life,"At an annual pace, a huge colony of ants is forced to collect every piece of food that grows on their island for a group of menacing grasshoppers. But that all changes when a misfit inventor ant named Flik accidentally knocks over the offering pile thus forcing the grasshoppers' devious leader Hopper to force the ants to redo their gathering of food. Despite the fact that his friends don't believe him and desperate to help save the colony, Flik volunteers to go out into the world and search for a group of 'warrior' bugs. Instead, what he got was a talented group of circus performers. But when the grasshoppers return and take control of the island, Flik must prove himself a true hero before it's too late.In every season, greedy grasshoppers demand a share of food from a colony of ants. But one day, their annual offering is inadvertently destroyed, and the grasshoppers demand twice as much food as compensation. So the ants send a misfit ant named Flik to seek for ""warrior bugs"" to battle the grasshoppers, only to discover that the group of bugs he recruited are an inept circus troupe. But the bugs are the ants' only hope to fight off their enemies.Every year, a bunch of grasshoppers come to the anthill and eat what the ants have gathered for them. The ""offering"", as the ants call the ritual, is a part of their fate. One day in spring, when the offering's preparation has just been finished, Flik, unliked inventor ant, accidentally drops the whole offered seeds into the river. The grasshoppers come and give the ants a second chance to collect food until fall. Flik sets off to find bugs that are willing to fight the grasshoppers (nobody expects him to succeed anyway) and, due to a double misinterpretation, returns with a circus crew, giving everybody new hope. When the misunderstanding finally gets cleared out, there is only little time left for a new plan, which has to work, or else...Once every year, some grasshoppers come to an anthill and eat what the ants have made. One year, a bug named Flik by accident drops the seeds into the river. The grasshoppers give the ants one last chance to find the food by the next season. Flik goes off to find help, and meets up with a circus crew, giving the ants some hope...A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",PG-13
1568921,The Secret World of Arrietty,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items that they borrow from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.In Tokyo, 12-year-old Sho (aka Shawn) has a heart condition and is neglected by his parents. He moves to the house of his Aunt Sadako (aka Aunt Jessica) and her housemaid Haru (aka Hara) to wait for a heart surgery, but he is depressed with the absence of his mother. Meanwhile 14-year-old teenager Arrietty lives on the underground of Sadako/Jessica's house with her father Pod and her hysterical mother Homily. They are Borrowers, tiny people that collect simple things they need in the house. Sho/Shawn sees Arrietty in the garden and during the night, she participates for the first time in a harvest with her father. Arrietty accidentally drops a sugar cube in Sho/Shawn's bedroom, but the next morning Sho/Shawn leaves the cube near a window in the basement. Arrietty's parents decide to move to another place since they have been discovered by an inhabitant of the house. But there is the menace of Haru/Hara who wants to capture the tiny people.The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",PG
0382932,Ratatouille,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.When a rat named Remy gets washed away from his family, he ends up in Paris and goes into Gusteau's restaurant and meets a garbage boy named Linguini. A bunch of other chefs give him credit and give him a cooking job after thinking he made a soup delicious. Then Linguini takes Remy to the restaurant the next day. And Remy ends up controlling Linguini by pulling his hair. Can Remy be a great chef? and can Gusteau's be the greatest restaurant in Paris?Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.Remy, a provincial rat with a wonderful sense of smell, hates garbage and risks death to enter a human kitchen where he discovers real food and the cooking of five-star chef, Anton Gusteau, author of ""Anyone Can Cook."" On the day Remy learns his hero has died, he is evicted and ends up alone in Paris. By luck, he discovers Gasteau's restaurant, down to three stars and run by a frozen-food-hawking chef. As Remy enters, so does Linguini, a clumsy youth hired as a garbage boy. To save the soup that Linguini accidentally fouls, Remy throws in some ingredients; the soup is a success and Linguini's career as a chef is born. Can Remy find a way to maintain the fiction and use his gift?Remy is a rat, constantly risking life in an expensive French restaurant because of his love of good food, as well as a desire to become a chef. Yet, obviously, this is a rather tough dream for a rat. But opportunity knocks when a young boy, who desperately needs to keep his job at the restaurant, despite his lack of cooking abilities, discovers and partners the young Remy. Its up to the two of them to avoid the insane head chef, bring the rest of Remy's family up to his standards, win his partner a girl, and, of course, produce the finest Ratatouille in all of France.A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.",PG-13
